model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 4B,Stochastic,run_2,SocialJudgment,ClaimComparison,False,191,4,0.020942408376963352,0.5078534031413613,0.06806282722513089,0.605868358445678
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Payoff,False,191,74,0.387434554973822,0.5078534031413613,0.6387434554973822,1.1943552475916848
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Uncertainty,False,191,45,0.2356020942408377,0.5078534031413613,0.5863874345549738,0.7911450662739322
Gemma 4 4B,Stochastic,run_2,Behavioral,Mechanical,False,191,2,0.010471204188481676,0.21465968586387435,0.09424083769633508,0.5176151761517616
Gemma 4 4B,Stochastic,run_2,Behavioral,Testimony,False,191,33,0.17277486910994763,0.21465968586387435,0.5968586387434555,1.3485237483953787
Gemma 4 4B,Stochastic,run_2,Behavioral,SocialJudgment,False,191,25,0.13089005235602094,0.21465968586387435,0.5078534031413613,1.2006537591149105
Gemma 4 4B,Stochastic,run_2,Behavioral,Behavioral,True,191,41,0.21465968586387435,0.21465968586387435,0.21465968586387435,
Gemma 4 4B,Stochastic,run_2,Behavioral,ClaimComparison,False,191,7,0.03664921465968586,0.21465968586387435,0.06806282722513089,2.5084427767354596
Gemma 4 4B,Stochastic,run_2,Behavioral,Payoff,False,191,30,0.15706806282722513,0.21465968586387435,0.6387434554973822,1.1455417832866852
Gemma 4 4B,Stochastic,run_2,Behavioral,Uncertainty,False,191,23,0.12041884816753927,0.21465968586387435,0.5863874345549738,0.9566637630662023
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Mechanical,False,191,1,0.005235602094240838,0.06806282722513089,0.09424083769633508,0.8162393162393162
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Testimony,False,191,12,0.06282722513089005,0.06806282722513089,0.5968586387434555,1.5465587044534412
Gemma 4 4B,Stochastic,run_2,ClaimComparison,SocialJudgment,False,191,4,0.020942408376963352,0.06806282722513089,0.5078534031413613,0.605868358445678
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Behavioral,False,191,7,0.03664921465968586,0.06806282722513089,0.21465968586387435,2.5084427767354596
Gemma 4 4B,Stochastic,run_2,ClaimComparison,ClaimComparison,True,191,13,0.06806282722513089,0.06806282722513089,0.06806282722513089,
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Payoff,False,191,9,0.04712041884816754,0.06806282722513089,0.6387434554973822,1.083858764186633
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Uncertainty,False,191,5,0.02617801047120419,0.06806282722513089,0.5863874345549738,0.6559065934065934
Gemma 4 4B,Stochastic,run_2,Payoff,Mechanical,False,191,12,0.06282722513089005,0.6387434554973822,0.09424083769633508,1.0437158469945353
Gemma 4 4B,Stochastic,run_2,Payoff,Testimony,False,191,94,0.49214659685863876,0.6387434554973822,0.5968586387434555,1.2909117054932413
