model,semantic_category,discourse_relation,metric,n_games,base,ft,delta,ci_low,ci_high,ci_excludes_zero,base_support_per_run,ft_support_per_run,low_support_diagnostic,n_valid_replicates,n_replicates,seed
Gemma 4 2B,ClaimComparison,Temporal.Asynchronous,localization,190,69.84126984126983,93.33333333333333,23.492063492063494,-3.973214285714288,55.0019841269841,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal.Asynchronous,lift,190,3.374811463046757,2.784508247743542,-0.5903032153032153,-2.280962123134251,0.8477010849651154,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal.Asynchronous,category_prevalence,188,56.737588652482266,59.75177304964539,3.0141843971631204,-1.418439716312058,7.624113475177303,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal.Asynchronous,conditional_prevalence,188,47.21693270244456,49.47886252234078,2.261929819896224,-4.358338946390228,9.088839308074204,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal.Asynchronous,conditional_density,188,0.8505007367472803,0.883942142438574,0.033441405691293724,-0.10233454650112805,0.17288033623943086,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal.Asynchronous,baseline_density,188,0.6217656205930014,0.6637278202543173,0.04196219966131587,-0.058101067457743724,0.14405405686270245,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal.Asynchronous,localization,188,84.86715440893339,85.64613880742912,0.7789843984957372,-6.537665454896414,8.316664310045825,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal.Asynchronous,lift,188,1.3455020926673071,1.356784278523409,0.011282185856101856,-0.12723627601705,0.15167393690527095,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal.Asynchronous,category_prevalence,191,18.32460732984293,16.404886561954626,-1.919720767888304,-5.584642233856895,1.7452006980802786,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal.Asynchronous,conditional_prevalence,191,58.14626171162674,50.185391175380055,-7.960870536246688,-21.326824623526154,5.37083438442764,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal.Asynchronous,conditional_density,191,0.9598291125315184,0.8052498686154239,-0.15457924391609446,-0.42910091970765174,0.10951744786674741,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal.Asynchronous,baseline_density,191,0.3280756467668948,0.2433926182489953,-0.08468302851789952,-0.15008925750687618,-0.02029053220543709,True,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal.Asynchronous,localization,191,94.7089947089947,94.87179487179488,0.16280016280018117,-8.915771864301272,9.01176046176047,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal.Asynchronous,lift,191,2.595663282513877,3.0540035665730882,0.45834028405921146,-0.27314726612464174,1.252292027911045,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 2B,SocialJudgment,Contingency,category_prevalence,190,59.29824561403509,58.42105263157895,-0.8771929824561369,-5.26315789473685,3.5087719298245617,False,112.66666666666667,111.0,False,10000,10000,20260826
Gemma 4 2B,SocialJudgment,Contingency,conditional_prevalence,190,52.21866170539843,59.447605500237074,7.228943794838642,-0.15940992100393345,14.637552034456958,False,112.66666666666667,111.0,False,10000,10000,20260826
Gemma 4 2B,SocialJudgment,Contingency,conditional_density,190,0.9690303284844445,1.0958033792513686,0.12677305076692413,-0.01606617861375852,0.26947773735611075,False,112.66666666666667,111.0,False,10000,10000,20260826
Gemma 4 2B,SocialJudgment,Contingency,baseline_density,190,1.1383656624795961,1.282090156608913,0.14372449412931676,0.027878028983495378,0.26190872965004447,True,112.66666666666667,111.0,False,10000,10000,20260826
Gemma 4 2B,SocialJudgment,Contingency,localization,190,39.303692664348404,35.79650765778948,-3.5071850065589203,-13.533438039458659,6.465816285791374,False,112.66666666666667,111.0,False,10000,10000,20260826
Gemma 4 2B,SocialJudgment,Contingency,lift,190,0.8733062963239336,0.8783041761667715,0.004997879842837838,-0.07294824295857733,0.0846017440210813,False,112.66666666666667,111.0,False,10000,10000,20260826
Gemma 4 31B,SocialJudgment,Contingency,category_prevalence,188,30.141843971631204,33.333333333333336,3.191489361702132,-1.595744680851066,8.156028368794328,False,56.666666666666664,62.666666666666664,False,10000,10000,20260826
Gemma 4 31B,SocialJudgment,Contingency,conditional_prevalence,188,42.651785714285715,43.86383731211317,1.212051597827454,-8.466903316377799,10.647669830865254,False,56.666666666666664,62.666666666666664,False,10000,10000,20260826
Gemma 4 31B,SocialJudgment,Contingency,conditional_density,188,0.6941378509301458,0.7340231097858861,0.039885258855740346,-0.1313367866672276,0.2078465626967383,False,56.666666666666664,62.666666666666664,False,10000,10000,20260826
Gemma 4 31B,SocialJudgment,Contingency,baseline_density,188,1.0743520269334277,1.0140169687706384,-0.06033505816278928,-0.17135341222405126,0.050095695440910665,False,56.666666666666664,62.666666666666664,False,10000,10000,20260826
Gemma 4 31B,SocialJudgment,Contingency,localization,188,26.335148215366,30.307539682539684,3.972391467173683,-8.753540511420946,17.303327924273702,False,56.666666666666664,62.666666666666664,False,10000,10000,20260826
Gemma 4 31B,SocialJudgment,Contingency,lift,188,0.7306604352903818,0.8302395970003618,0.09957916170997994,-0.05172438090969322,0.25251901151852246,False,56.666666666666664,62.666666666666664,False,10000,10000,20260826
Gemma 4 4B,SocialJudgment,Contingency,category_prevalence,191,56.19546247818499,55.67190226876091,-0.5235602094240832,-5.061082024432814,4.188481675392666,False,107.33333333333333,106.33333333333333,False,10000,10000,20260826
Gemma 4 4B,SocialJudgment,Contingency,conditional_prevalence,191,23.21721488388155,18.202965849145563,-5.014249034735986,-11.443965164176438,1.108393440648536,False,107.33333333333333,106.33333333333333,False,10000,10000,20260826
Gemma 4 4B,SocialJudgment,Contingency,conditional_density,191,0.33168602005821735,0.27406219603829185,-0.057623824019925496,-0.1577785178275863,0.036341665014192455,False,107.33333333333333,106.33333333333333,False,10000,10000,20260826
Gemma 4 4B,SocialJudgment,Contingency,baseline_density,191,0.5091709372414551,0.3966240713941613,-0.11254686584729384,-0.1960298894204817,-0.030195063112012175,True,107.33333333333333,106.33333333333333,False,10000,10000,20260826
Gemma 4 4B,SocialJudgment,Contingency,localization,191,34.0,14.783950617283951,-19.21604938271605,-33.47376690047884,-4.6558493782045876,True,107.33333333333333,106.33333333333333,False,10000,10000,20260826
Gemma 4 4B,SocialJudgment,Contingency,lift,191,0.6864117137492821,0.6763857452088419,-0.010025968540440244,-0.1730507203937801,0.14768235983662198,False,107.33333333333333,106.33333333333333,False,10000,10000,20260826
