model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 2B,Stochastic,run_2,Payoff,Payoff,True,191,178,0.9319371727748691,0.9319371727748691,0.9319371727748691,
Gemma 4 2B,Stochastic,run_2,Payoff,Uncertainty,False,191,103,0.5392670157068062,0.9319371727748691,0.5968586387434555,0.9694953676325645
Gemma 4 2B,Stochastic,run_2,Uncertainty,Mechanical,False,191,2,0.010471204188481676,0.5968586387434555,0.03664921465968586,0.4786967418546367
Gemma 4 2B,Stochastic,run_2,Uncertainty,Testimony,False,191,41,0.21465968586387435,0.5968586387434555,0.518324607329843,0.6938685096579833
Gemma 4 2B,Stochastic,run_2,Uncertainty,SocialJudgment,False,191,54,0.28272251308900526,0.5968586387434555,0.5706806282722513,0.8300338000965718
Gemma 4 2B,Stochastic,run_2,Uncertainty,Behavioral,False,191,24,0.1256544502617801,0.5968586387434555,0.16230366492146597,1.2971137521222411
Gemma 4 2B,Stochastic,run_2,Uncertainty,ClaimComparison,False,191,7,0.03664921465968586,0.5968586387434555,0.06806282722513089,0.9021592442645074
Gemma 4 2B,Stochastic,run_2,Uncertainty,Payoff,False,191,103,0.5392670157068062,0.5968586387434555,0.9319371727748691,0.9694953676325645
Gemma 4 2B,Stochastic,run_2,Uncertainty,Uncertainty,True,191,114,0.5968586387434555,0.5968586387434555,0.5968586387434555,
Gemma 4 2B,Stochastic,run_3,Mechanical,Mechanical,True,191,6,0.031413612565445025,0.031413612565445025,0.031413612565445025,
Gemma 4 2B,Stochastic,run_3,Mechanical,Testimony,False,191,4,0.020942408376963352,0.031413612565445025,0.5392670157068062,1.2362459546925568
Gemma 4 2B,Stochastic,run_3,Mechanical,SocialJudgment,False,191,2,0.010471204188481676,0.031413612565445025,0.5602094240837696,0.5950155763239877
Gemma 4 2B,Stochastic,run_3,Mechanical,Behavioral,False,191,1,0.005235602094240838,0.031413612565445025,0.17801047120418848,0.9362745098039217
Gemma 4 2B,Stochastic,run_3,Mechanical,ClaimComparison,False,191,0,0.0,0.031413612565445025,0.07853403141361257,0.0
Gemma 4 2B,Stochastic,run_3,Mechanical,Payoff,False,191,5,0.02617801047120419,0.031413612565445025,0.900523560209424,0.9253875968992249
Gemma 4 2B,Stochastic,run_3,Mechanical,Uncertainty,False,191,3,0.015706806282722512,0.031413612565445025,0.5968586387434555,0.837719298245614
Gemma 4 2B,Stochastic,run_3,Testimony,Mechanical,False,191,4,0.020942408376963352,0.5392670157068062,0.031413612565445025,1.2362459546925568
Gemma 4 2B,Stochastic,run_3,Testimony,Testimony,True,191,103,0.5392670157068062,0.5392670157068062,0.5392670157068062,
Gemma 4 2B,Stochastic,run_3,Testimony,SocialJudgment,False,191,51,0.2670157068062827,0.5392670157068062,0.5602094240837696,0.8838580891026223
Gemma 4 2B,Stochastic,run_3,Testimony,Behavioral,False,191,15,0.07853403141361257,0.5392670157068062,0.17801047120418848,0.8181039406053685
Gemma 4 2B,Stochastic,run_3,Testimony,ClaimComparison,False,191,15,0.07853403141361257,0.5392670157068062,0.07853403141361257,1.854368932038835
Gemma 4 2B,Stochastic,run_3,Testimony,Payoff,False,191,94,0.49214659685863876,0.5392670157068062,0.900523560209424,1.0134341837886658
Gemma 4 2B,Stochastic,run_3,Testimony,Uncertainty,False,191,48,0.2513089005235602,0.5392670157068062,0.5968586387434555,0.7807869187531937
