model,decoding_group,pair,joint_prevalence_mean,prevalence_a_mean,prevalence_b_mean,support_mean,support_total,lift_mean,lift_sd,support_is_thin,min_support_threshold
Gemma 4 2B,Greedy,Behavioral + Payoff,0.16230366492146597,0.17801047120418848,0.900523560209424,31.0,31,1.012482900136799,,False,10.0
Gemma 4 2B,Greedy,Behavioral + Uncertainty,0.1099476439790576,0.17801047120418848,0.6387434554973822,21.0,21,0.9669720347155256,,False,10.0
Gemma 4 2B,Greedy,Behavioral + Testimony,0.10471204188481675,0.17801047120418848,0.5445026178010471,20.0,20,1.080316742081448,,False,10.0
Gemma 4 2B,Greedy,ClaimComparison + Payoff,0.07853403141361257,0.07853403141361257,0.900523560209424,15.0,15,1.11046511627907,,False,10.0
Gemma 4 2B,Greedy,ClaimComparison + Testimony,0.07853403141361257,0.07853403141361257,0.5445026178010471,15.0,15,1.8365384615384615,,False,10.0
Gemma 4 2B,Greedy,Behavioral + SocialJudgment,0.07329842931937172,0.17801047120418848,0.5078534031413613,14.0,14,0.8107944208611279,,False,10.0
Gemma 4 2B,Greedy,ClaimComparison + SocialJudgment,0.03664921465968586,0.07853403141361257,0.5078534031413613,7.0,7,0.9189003436426115,,True,10.0
Gemma 4 2B,Greedy,ClaimComparison + Uncertainty,0.03664921465968586,0.07853403141361257,0.6387434554973822,7.0,7,0.7306010928961748,,True,10.0
Gemma 4 2B,Greedy,Mechanical + Payoff,0.02617801047120419,0.02617801047120419,0.900523560209424,5.0,5,1.1104651162790697,,True,10.0
Gemma 4 2B,Greedy,Mechanical + Testimony,0.02617801047120419,0.02617801047120419,0.5445026178010471,5.0,5,1.8365384615384615,,True,10.0
Gemma 4 2B,Greedy,Behavioral + ClaimComparison,0.010471204188481676,0.17801047120418848,0.07853403141361257,2.0,2,0.7490196078431374,,True,10.0
Gemma 4 2B,Greedy,Behavioral + Mechanical,0.010471204188481676,0.17801047120418848,0.02617801047120419,2.0,2,2.2470588235294118,,True,10.0
Gemma 4 2B,Greedy,Mechanical + SocialJudgment,0.010471204188481676,0.02617801047120419,0.5078534031413613,2.0,2,0.7876288659793814,,True,10.0
Gemma 4 2B,Greedy,Mechanical + Uncertainty,0.005235602094240838,0.02617801047120419,0.6387434554973822,1.0,1,0.3131147540983607,,True,10.0
Gemma 4 2B,Greedy,ClaimComparison + Mechanical,0.0,0.07853403141361257,0.02617801047120419,0.0,0,0.0,,True,10.0
Gemma 4 4B,Greedy,Payoff + Testimony,0.5445026178010471,0.7172774869109948,0.7172774869109948,104.0,104,1.058340881240343,,False,10.0
Gemma 4 4B,Greedy,Payoff + SocialJudgment,0.418848167539267,0.7172774869109948,0.5392670157068062,80.0,80,1.0828431719934803,,False,10.0
Gemma 4 4B,Greedy,Behavioral + Testimony,0.36649214659685864,0.5026178010471204,0.7172774869109948,70.0,70,1.0165754257907542,,False,10.0
Gemma 4 4B,Greedy,SocialJudgment + Testimony,0.35602094240837695,0.5392670157068062,0.7172774869109948,68.0,68,0.9204166961944582,,False,10.0
Gemma 4 4B,Greedy,Behavioral + Payoff,0.3036649214659686,0.5026178010471204,0.7172774869109948,58.0,58,0.8423053527980535,,False,10.0
Gemma 4 4B,Greedy,Payoff + Uncertainty,0.27225130890052357,0.7172774869109948,0.4031413612565445,52.0,52,0.9415110437008247,,False,10.0
Gemma 4 4B,Greedy,Behavioral + SocialJudgment,0.25654450261780104,0.5026178010471204,0.5392670157068062,49.0,49,0.9465008090614887,,False,10.0
Gemma 4 4B,Greedy,Testimony + Uncertainty,0.2513089005235602,0.7172774869109948,0.4031413612565445,48.0,48,0.8690871172622997,,False,10.0
Gemma 4 4B,Greedy,ClaimComparison + Testimony,0.19895287958115182,0.19895287958115182,0.7172774869109948,38.0,38,1.3941605839416058,,False,10.0
Gemma 4 4B,Greedy,SocialJudgment + Uncertainty,0.193717277486911,0.5392670157068062,0.4031413612565445,37.0,37,0.8910603959147649,,False,10.0
Gemma 4 4B,Greedy,Behavioral + Uncertainty,0.18324607329842932,0.5026178010471204,0.4031413612565445,35.0,35,0.9043560606060607,,False,10.0
Gemma 4 4B,Greedy,Behavioral + ClaimComparison,0.14136125654450263,0.5026178010471204,0.19895287958115182,27.0,27,1.413651315789474,,False,10.0
Gemma 4 4B,Greedy,ClaimComparison + Payoff,0.12041884816753927,0.19895287958115182,0.7172774869109948,23.0,23,0.8438340376488667,,False,10.0
Gemma 4 4B,Greedy,Mechanical + Testimony,0.07329842931937172,0.07329842931937172,0.7172774869109948,14.0,14,1.3941605839416058,,False,10.0
Gemma 4 4B,Greedy,ClaimComparison + SocialJudgment,0.06806282722513089,0.19895287958115182,0.5392670157068062,13.0,13,0.6343893714869699,,False,10.0
Gemma 4 4B,Greedy,Mechanical + Payoff,0.06282722513089005,0.07329842931937172,0.7172774869109948,12.0,12,1.194994786235662,,False,10.0
Gemma 4 4B,Greedy,ClaimComparison + Uncertainty,0.04712041884816754,0.19895287958115182,0.4031413612565445,9.0,9,0.5874914559125086,,True,10.0
Gemma 4 4B,Greedy,Behavioral + Mechanical,0.03664921465968586,0.5026178010471204,0.07329842931937172,7.0,7,0.9947916666666667,,True,10.0
Gemma 4 4B,Greedy,Mechanical + SocialJudgment,0.02617801047120419,0.07329842931937172,0.5392670157068062,5.0,5,0.6622746185852983,,True,10.0
Gemma 4 4B,Greedy,Mechanical + Uncertainty,0.015706806282722512,0.07329842931937172,0.4031413612565445,3.0,3,0.5315398886827458,,True,10.0
Gemma 4 4B,Greedy,ClaimComparison + Mechanical,0.010471204188481676,0.19895287958115182,0.07329842931937172,2.0,2,0.718045112781955,,True,10.0
Gemma 4 31B,Greedy,Behavioral + Testimony,0.6073298429319371,0.612565445026178,0.9895287958115183,116.0,116,1.0019445575001131,,False,10.0
Gemma 4 31B,Greedy,ClaimComparison + Testimony,0.5968586387434555,0.5968586387434555,0.9895287958115183,114.0,114,1.0105820105820107,,False,10.0
Gemma 4 31B,Greedy,Mechanical + Testimony,0.5340314136125655,0.5392670157068062,0.9895287958115183,102.0,102,1.0007705347511173,,False,10.0
Gemma 4 31B,Greedy,Behavioral + ClaimComparison,0.387434554973822,0.612565445026178,0.5968586387434555,74.0,74,1.0596791123106915,,False,10.0
Gemma 4 31B,Greedy,ClaimComparison + Mechanical,0.29842931937172773,0.5968586387434555,0.5392670157068062,57.0,57,0.9271844660194175,,False,10.0
Gemma 4 31B,Greedy,SocialJudgment + Testimony,0.29842931937172773,0.3036649214659686,0.9895287958115183,57.0,57,0.9931581828133552,,False,10.0
Gemma 4 31B,Greedy,Behavioral + Mechanical,0.2879581151832461,0.612565445026178,0.5392670157068062,55.0,55,0.8717118911293669,,False,10.0
