model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,lift_mean,lift_sd
Gemma 4 4B,Greedy,SocialJudgment,Mechanical,False,1,5.0,5,0.02617801047120419,0.6622746185852983,
Gemma 4 4B,Greedy,SocialJudgment,Payoff,False,1,80.0,80,0.418848167539267,1.0828431719934803,
Gemma 4 4B,Greedy,SocialJudgment,SocialJudgment,True,1,103.0,103,0.5392670157068062,,
Gemma 4 4B,Greedy,SocialJudgment,Testimony,False,1,68.0,68,0.35602094240837695,0.9204166961944582,
Gemma 4 4B,Greedy,SocialJudgment,Uncertainty,False,1,37.0,37,0.193717277486911,0.8910603959147649,
Gemma 4 4B,Greedy,Testimony,Behavioral,False,1,70.0,70,0.36649214659685864,1.0165754257907542,
Gemma 4 4B,Greedy,Testimony,ClaimComparison,False,1,38.0,38,0.19895287958115182,1.3941605839416058,
Gemma 4 4B,Greedy,Testimony,Mechanical,False,1,14.0,14,0.07329842931937172,1.3941605839416058,
Gemma 4 4B,Greedy,Testimony,Payoff,False,1,104.0,104,0.5445026178010471,1.058340881240343,
Gemma 4 4B,Greedy,Testimony,SocialJudgment,False,1,68.0,68,0.35602094240837695,0.9204166961944582,
Gemma 4 4B,Greedy,Testimony,Testimony,True,1,137.0,137,0.7172774869109948,,
Gemma 4 4B,Greedy,Testimony,Uncertainty,False,1,48.0,48,0.2513089005235602,0.8690871172622997,
Gemma 4 4B,Greedy,Uncertainty,Behavioral,False,1,35.0,35,0.18324607329842932,0.9043560606060607,
Gemma 4 4B,Greedy,Uncertainty,ClaimComparison,False,1,9.0,9,0.04712041884816754,0.5874914559125086,
Gemma 4 4B,Greedy,Uncertainty,Mechanical,False,1,3.0,3,0.015706806282722512,0.5315398886827458,
Gemma 4 4B,Greedy,Uncertainty,Payoff,False,1,52.0,52,0.27225130890052357,0.9415110437008247,
Gemma 4 4B,Greedy,Uncertainty,SocialJudgment,False,1,37.0,37,0.193717277486911,0.8910603959147649,
Gemma 4 4B,Greedy,Uncertainty,Testimony,False,1,48.0,48,0.2513089005235602,0.8690871172622997,
Gemma 4 4B,Greedy,Uncertainty,Uncertainty,True,1,77.0,77,0.4031413612565445,,
Gemma 4 31B,Stochastic,Behavioral,Behavioral,True,3,117.66666666666667,353,0.6160558464223386,,
Gemma 4 31B,Stochastic,Behavioral,ClaimComparison,False,3,74.66666666666667,224,0.39092495636998253,1.109474716186452,0.02545800507184195
Gemma 4 31B,Stochastic,Behavioral,Mechanical,False,3,57.0,171,0.29842931937172773,0.9164124503693881,0.039527791999357624
Gemma 4 31B,Stochastic,Behavioral,Payoff,False,3,30.0,90,0.15706806282722513,0.9267660105496974,0.08467422964965747
Gemma 4 31B,Stochastic,Behavioral,SocialJudgment,False,3,34.666666666666664,104,0.18150087260034906,0.9835543400586418,0.03973986200982995
Gemma 4 31B,Stochastic,Behavioral,Testimony,False,3,116.0,348,0.6073298429319371,1.0032990245699673,0.005170066137203984
Gemma 4 31B,Stochastic,Behavioral,Uncertainty,False,3,9.333333333333334,28,0.04886561954624782,0.723040389269074,0.1407968044857338
Gemma 4 31B,Stochastic,ClaimComparison,Behavioral,False,3,74.66666666666667,224,0.39092495636998253,1.109474716186452,0.02545800507184195
Gemma 4 31B,Stochastic,ClaimComparison,ClaimComparison,True,3,109.33333333333333,328,0.5724258289703316,,
Gemma 4 31B,Stochastic,ClaimComparison,Mechanical,False,3,49.333333333333336,148,0.2582897033158813,0.8550787584005538,0.05605916424137581
Gemma 4 31B,Stochastic,ClaimComparison,Payoff,False,3,24.333333333333332,73,0.1273996509598604,0.8096658425967872,0.08787395660314809
