model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,joint_prevalence_sd,prevalence_a_mean,prevalence_b_mean
Gemma 4 4B,Stochastic,Behavioral,Payoff,False,3,75.66666666666667,227,0.3961605584642234,0.01599502860368529,0.581151832460733,0.719022687609075
Gemma 4 4B,Stochastic,Behavioral,SocialJudgment,False,3,60.333333333333336,181,0.3158813263525306,0.021159433949358035,0.581151832460733,0.56195462478185
Gemma 4 4B,Stochastic,Behavioral,Testimony,False,3,85.0,255,0.4450261780104712,0.04188481675392672,0.581151832460733,0.7539267015706805
Gemma 4 4B,Stochastic,Behavioral,Uncertainty,False,3,40.333333333333336,121,0.21116928446771377,0.007997514301842661,0.581151832460733,0.4258289703315881
Gemma 4 4B,Stochastic,ClaimComparison,Behavioral,False,3,23.666666666666668,71,0.12390924956369982,0.03067782867582364,0.18324607329842932,0.581151832460733
Gemma 4 4B,Stochastic,ClaimComparison,ClaimComparison,True,3,35.0,105,0.18324607329842932,0.018877231808711977,0.18324607329842932,0.18324607329842932
Gemma 4 4B,Stochastic,ClaimComparison,Mechanical,False,3,1.6666666666666667,5,0.008726003490401396,0.006045552556959431,0.18324607329842932,0.06980802792321117
Gemma 4 4B,Stochastic,ClaimComparison,Payoff,False,3,24.666666666666668,74,0.12914485165794065,0.021159433949358007,0.18324607329842932,0.719022687609075
Gemma 4 4B,Stochastic,ClaimComparison,SocialJudgment,False,3,17.333333333333332,52,0.09075043630017453,0.012091105113918862,0.18324607329842932,0.56195462478185
Gemma 4 4B,Stochastic,ClaimComparison,Testimony,False,3,33.333333333333336,100,0.17452006980802792,0.010898774866314827,0.18324607329842932,0.7539267015706805
Gemma 4 4B,Stochastic,ClaimComparison,Uncertainty,False,3,10.666666666666666,32,0.05584642233856893,0.018386830284210714,0.18324607329842932,0.4258289703315881
Gemma 4 4B,Stochastic,Mechanical,Behavioral,False,3,5.333333333333333,16,0.027923211169284468,0.012091105113918865,0.06980802792321117,0.581151832460733
Gemma 4 4B,Stochastic,Mechanical,ClaimComparison,False,3,1.6666666666666667,5,0.008726003490401396,0.006045552556959431,0.06980802792321117,0.18324607329842932
Gemma 4 4B,Stochastic,Mechanical,Mechanical,True,3,13.333333333333334,40,0.06980802792321117,0.007997514301842654,0.06980802792321117,0.06980802792321117
Gemma 4 4B,Stochastic,Mechanical,Payoff,False,3,10.333333333333334,31,0.05410122164048866,0.006045552556959431,0.06980802792321117,0.719022687609075
