decoding_group,model,category,n_outputs,n_present,n_absent,n_correct_present,n_correct_absent,p_correct_present,p_correct_absent,delta,ci_low,ci_high,ci_excludes_zero,n_valid_replicates,n_games,n_replicates,seed
Greedy,Gemma 4 2B,Uncertainty,191,122,69,34,36,0.2786885245901639,0.5217391304347826,-0.24305060584461868,-0.38613384689455943,-0.10235283755246655,True,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Mechanical,573,40,533,17,219,0.425,0.41088180112570355,0.01411819887429644,-0.1539362149752398,0.215852979587191,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Testimony,573,432,141,183,53,0.4236111111111111,0.375886524822695,0.04772458628841608,-0.07213796656317958,0.16447561256944382,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,SocialJudgment,573,322,251,144,92,0.4472049689440994,0.3665338645418327,0.08067110440226671,-0.022326347859946263,0.18258753417580256,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Behavioral,573,333,240,119,117,0.35735735735735735,0.4875,-0.13014264264264264,-0.23333533344762558,-0.023990343509530776,True,10000,191,10000,20260826
Stochastic,Gemma 4 4B,ClaimComparison,573,105,468,43,193,0.4095238095238095,0.41239316239316237,-0.002869352869352859,-0.13616688216057402,0.12929471990910898,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Payoff,573,412,161,177,59,0.42961165048543687,0.36645962732919257,0.0631520231562443,-0.040214404395180876,0.16283379632499556,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Uncertainty,573,244,329,93,143,0.38114754098360654,0.43465045592705165,-0.05350291494344511,-0.14001695901507086,0.03233801835887502,False,10000,191,10000,20260826
Greedy,Gemma 4 4B,Mechanical,191,14,177,5,73,0.35714285714285715,0.4124293785310734,-0.05528652138821627,-0.3153500321130379,0.22437995537197913,False,10000,191,10000,20260826
Greedy,Gemma 4 4B,Testimony,191,137,54,58,20,0.4233576642335766,0.37037037037037035,0.052987293863206275,-0.10015232955625619,0.20522561222894833,False,10000,191,10000,20260826
Greedy,Gemma 4 4B,SocialJudgment,191,103,88,51,27,0.49514563106796117,0.3068181818181818,0.18832744924977934,0.049680974513442104,0.32303433001107423,True,10000,191,10000,20260826
Greedy,Gemma 4 4B,Behavioral,191,96,95,34,44,0.3541666666666667,0.4631578947368421,-0.10899122807017542,-0.24440917421722508,0.03210576111827532,False,10000,191,10000,20260826
Greedy,Gemma 4 4B,ClaimComparison,191,38,153,15,63,0.39473684210526316,0.4117647058823529,-0.017027863777089758,-0.1923218673218673,0.16047901616787066,False,10000,191,10000,20260826
Greedy,Gemma 4 4B,Payoff,191,137,54,60,18,0.43795620437956206,0.3333333333333333,0.10462287104622875,-0.04730044366739989,0.252381588999236,False,10000,191,10000,20260826
Greedy,Gemma 4 4B,Uncertainty,191,77,114,29,49,0.37662337662337664,0.4298245614035088,-0.05320118478013214,-0.19663069057502242,0.09159639863529849,False,10000,191,10000,20260826
Stochastic,Gemma 4 31B,Mechanical,573,303,270,130,109,0.429042904290429,0.40370370370370373,0.025339200586725286,-0.07853980998785505,0.12516370864278725,False,10000,191,10000,20260826
Stochastic,Gemma 4 31B,Testimony,573,563,10,236,3,0.4191829484902309,0.3,0.11918294849023092,-0.2677304964539007,0.4661015070921986,False,9996,191,10000,20260826
Stochastic,Gemma 4 31B,SocialJudgment,573,171,402,76,163,0.4444444444444444,0.4054726368159204,0.038971807628524036,-0.07801561540467003,0.15737472630933613,False,10000,191,10000,20260826
Stochastic,Gemma 4 31B,Behavioral,573,353,220,125,114,0.35410764872521244,0.5181818181818182,-0.16407416945660575,-0.2663022756465904,-0.05846518713964453,True,10000,191,10000,20260826
Stochastic,Gemma 4 31B,ClaimComparison,573,328,245,132,107,0.4024390243902439,0.43673469387755104,-0.03429566948730711,-0.1410456828112632,0.0756267669353231,False,10000,191,10000,20260826
Stochastic,Gemma 4 31B,Payoff,573,158,415,67,172,0.4240506329113924,0.41445783132530123,0.00959280158609116,-0.09990732020192439,0.12184712020593307,False,10000,191,10000,20260826
Stochastic,Gemma 4 31B,Uncertainty,573,62,511,25,214,0.4032258064516129,0.4187866927592955,-0.015560886307682598,-0.15514381884944922,0.13864137544983468,False,10000,191,10000,20260826
Greedy,Gemma 4 31B,Mechanical,191,103,88,50,34,0.4854368932038835,0.38636363636363635,0.09907325684024715,-0.041502162726526945,0.23645105759893728,False,10000,191,10000,20260826
Greedy,Gemma 4 31B,Testimony,191,189,2,82,2,0.43386243386243384,1.0,-0.5661375661375662,-0.6363636363636364,-0.49473684210526314,True,8630,191,10000,20260826
Greedy,Gemma 4 31B,SocialJudgment,191,58,133,21,63,0.3620689655172414,0.47368421052631576,-0.11161524500907438,-0.26129816430388947,0.03960983402161101,False,10000,191,10000,20260826
Greedy,Gemma 4 31B,Behavioral,191,117,74,44,40,0.37606837606837606,0.5405405405405406,-0.1644721644721645,-0.3088130495091763,-0.01954247753428086,True,10000,191,10000,20260826
Greedy,Gemma 4 31B,ClaimComparison,191,114,77,50,34,0.43859649122807015,0.44155844155844154,-0.002961950330371388,-0.14620722811671094,0.14390977462088628,False,10000,191,10000,20260826
Greedy,Gemma 4 31B,Payoff,191,56,135,25,59,0.44642857142857145,0.43703703703703706,0.009391534391534395,-0.1446988657667791,0.1651267557839833,False,10000,191,10000,20260826
Greedy,Gemma 4 31B,Uncertainty,191,15,176,9,75,0.6,0.42613636363636365,0.17386363636363633,-0.10053265626013669,0.43158007197480885,False,10000,191,10000,20260826
