model,decoding_group,category,is_substantive,n_runs,prevalence_mean,prevalence_sd,prevalence_min,prevalence_max,n_present_mean
Gemma 4 4B,Stochastic,Behavioral,True,3,0.581151832460733,0.031846924242399044,0.5602094240837696,0.6178010471204188,111.0
Gemma 4 4B,Stochastic,ClaimComparison,True,3,0.18324607329842932,0.018877231808711977,0.16230366492146597,0.19895287958115182,35.0
Gemma 4 4B,Stochastic,Payoff,True,3,0.719022687609075,0.012091105113918877,0.7120418848167539,0.7329842931937173,137.33333333333334
Gemma 4 4B,Stochastic,Uncertainty,True,3,0.4258289703315881,0.031990057207370616,0.39790575916230364,0.4607329842931937,81.33333333333333
Gemma 4 4B,Stochastic,Other,False,3,0.005235602094240839,0.005235602094240838,0.0,0.010471204188481676,1.0
Gemma 4 4B,Greedy,Mechanical,True,1,0.07329842931937172,,0.07329842931937172,0.07329842931937172,14.0
Gemma 4 4B,Greedy,Testimony,True,1,0.7172774869109948,,0.7172774869109948,0.7172774869109948,137.0
Gemma 4 4B,Greedy,SocialJudgment,True,1,0.5392670157068062,,0.5392670157068062,0.5392670157068062,103.0
Gemma 4 4B,Greedy,Behavioral,True,1,0.5026178010471204,,0.5026178010471204,0.5026178010471204,96.0
Gemma 4 4B,Greedy,ClaimComparison,True,1,0.19895287958115182,,0.19895287958115182,0.19895287958115182,38.0
Gemma 4 4B,Greedy,Payoff,True,1,0.7172774869109948,,0.7172774869109948,0.7172774869109948,137.0
Gemma 4 4B,Greedy,Uncertainty,True,1,0.4031413612565445,,0.4031413612565445,0.4031413612565445,77.0
Gemma 4 4B,Greedy,Other,False,1,0.010471204188481676,,0.010471204188481676,0.010471204188481676,2.0
Gemma 4 31B,Stochastic,Mechanical,True,3,0.5287958115183246,0.0,0.5287958115183246,0.5287958115183246,101.0
Gemma 4 31B,Stochastic,Testimony,True,3,0.9825479930191973,0.013175976326825087,0.9685863874345549,0.9947643979057592,187.66666666666666
Gemma 4 31B,Stochastic,SocialJudgment,True,3,0.29842931937172773,0.034332138870691115,0.2670157068062827,0.33507853403141363,57.0
Gemma 4 31B,Stochastic,Behavioral,True,3,0.6160558464223386,0.007997514301842685,0.6073298429319371,0.6230366492146597,117.66666666666667
Gemma 4 31B,Stochastic,ClaimComparison,True,3,0.5724258289703316,0.02883544789155029,0.5392670157068062,0.5916230366492147,109.33333333333333
Gemma 4 31B,Stochastic,Payoff,True,3,0.2757417102966841,0.04066729562907869,0.23036649214659685,0.3089005235602094,52.666666666666664
Gemma 4 31B,Stochastic,Uncertainty,True,3,0.10820244328097732,0.021797549732629658,0.08376963350785341,0.1256544502617801,20.666666666666668
Gemma 4 31B,Stochastic,Other,False,3,0.027923211169284468,0.00799751430184265,0.020942408376963352,0.03664921465968586,5.333333333333333
Gemma 4 31B,Greedy,Mechanical,True,1,0.5392670157068062,,0.5392670157068062,0.5392670157068062,103.0
Gemma 4 31B,Greedy,Testimony,True,1,0.9895287958115183,,0.9895287958115183,0.9895287958115183,189.0
Gemma 4 31B,Greedy,SocialJudgment,True,1,0.3036649214659686,,0.3036649214659686,0.3036649214659686,58.0
