repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
2,2,32,1000.0,1.742273316571133,0.17708333333333331,2B,rate_temporal,strategy
2,3,34,1000.0,1.636218953395824,0.196078431372549,2B,rate_temporal,strategy
2,4,36,1000.0,1.636498682701956,0.2592592592592593,2B,rate_temporal,strategy
3,0,41,1000.0,1.670918305491322,0.21951219512195122,2B,rate_temporal,strategy
3,1,37,10000.0,1.6494697998124206,0.13513513513513514,2B,rate_temporal,strategy
3,2,37,1000.0,1.6631047329922455,0.26126126126126126,2B,rate_temporal,strategy
3,3,35,1000.0,1.7063124636995028,0.21904761904761902,2B,rate_temporal,strategy
3,4,39,10000.0,1.8093239218650912,0.17094017094017092,2B,rate_temporal,strategy
4,0,37,1000.0,1.7404877408635433,0.08108108108108109,2B,rate_temporal,strategy
4,1,40,1000.0,1.7342333881536178,0.24999999999999994,2B,rate_temporal,strategy
4,2,33,1000.0,1.7945585928303756,0.1717171717171717,2B,rate_temporal,strategy
4,3,42,100.0,1.6573675077268955,0.2857142857142857,2B,rate_temporal,strategy
4,4,37,1000.0,1.6752847581366532,0.25225225225225223,2B,rate_temporal,strategy
0,0,39,100.0,1.445474170903837,0.4273504273504273,2B,rate_temporal,enriched
0,1,39,100.0,1.3038781500022714,0.4871794871794871,2B,rate_temporal,enriched
0,2,37,100.0,1.655603318079111,0.3063063063063063,2B,rate_temporal,enriched
0,3,37,100.0,1.646339281291295,0.4054054054054054,2B,rate_temporal,enriched
0,4,37,100.0,1.4236225949998977,0.3513513513513513,2B,rate_temporal,enriched
1,0,39,100.0,1.3593408044386355,0.4786324786324786,2B,rate_temporal,enriched
1,1,38,100.0,1.4820076222268472,0.4298245614035087,2B,rate_temporal,enriched
1,2,36,100.0,1.600355986800678,0.37962962962962965,2B,rate_temporal,enriched
1,3,38,100.0,1.68367170906524,0.3157894736842105,2B,rate_temporal,enriched
1,4,38,100.0,1.3714185230484077,0.42105263157894735,2B,rate_temporal,enriched
2,0,40,100.0,1.5557436906517785,0.3416666666666667,2B,rate_temporal,enriched
2,1,47,10.0,1.51335161829672,0.46808510638297873,2B,rate_temporal,enriched
2,2,32,100.0,1.5696407714802376,0.23958333333333331,2B,rate_temporal,enriched
2,3,34,100.0,1.3731392778500955,0.5,2B,rate_temporal,enriched
2,4,36,100.0,1.506038701296183,0.39814814814814814,2B,rate_temporal,enriched
3,0,41,100.0,1.4600689519750187,0.4227642276422764,2B,rate_temporal,enriched
3,1,37,10.0,1.8679234838818646,0.3333333333333333,2B,rate_temporal,enriched
