repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
1,2,38,10000.0,1.7563094697406432,0.13157894736842105,2B,rate_overall,strategy
1,3,38,10000.0,1.7454649259895503,0.3333333333333333,2B,rate_overall,strategy
1,4,39,100.0,1.6821225443628538,0.2222222222222222,2B,rate_overall,strategy
2,0,41,1000.0,1.8309288461101108,0.1300813008130081,2B,rate_overall,strategy
2,1,47,10000.0,1.6808406450698334,0.3120567375886525,2B,rate_overall,strategy
2,2,35,10000.0,1.6388237219061434,0.21904761904761902,2B,rate_overall,strategy
2,3,32,1000.0,1.7859098132500668,0.08333333333333333,2B,rate_overall,strategy
2,4,36,100.0,1.6315030420862209,0.2222222222222222,2B,rate_overall,strategy
3,0,40,10.0,1.8191133256558185,0.21666666666666665,2B,rate_overall,strategy
3,1,37,1000.0,1.6184917870758426,0.2522522522522523,2B,rate_overall,strategy
3,2,41,1000.0,1.6111460238877735,0.2682926829268293,2B,rate_overall,strategy
3,3,36,1000.0,1.7011048661667791,0.24074074074074073,2B,rate_overall,strategy
3,4,37,1000.0,1.8270133699787325,0.0900900900900901,2B,rate_overall,strategy
4,0,38,10000.0,1.7478584577717549,0.11403508771929824,2B,rate_overall,strategy
4,1,38,100.0,1.6583924057009718,0.2192982456140351,2B,rate_overall,strategy
4,2,40,10000.0,1.7337520270424498,0.325,2B,rate_overall,strategy
4,3,33,100.0,1.7083236459730322,0.2727272727272727,2B,rate_overall,strategy
4,4,42,100.0,1.6654766187684147,0.22222222222222224,2B,rate_overall,strategy
0,0,39,10.0,1.3708159580396377,0.5042735042735043,2B,rate_overall,enriched
0,1,38,10.0,1.4294962722646793,0.48245614035087714,2B,rate_overall,enriched
0,2,38,100.0,1.5683494919468277,0.3771929824561403,2B,rate_overall,enriched
0,3,37,10.0,1.5564112044501168,0.42342342342342343,2B,rate_overall,enriched
0,4,39,100.0,1.501486319098855,0.3675213675213675,2B,rate_overall,enriched
1,0,37,10.0,1.5681460636980908,0.46846846846846846,2B,rate_overall,enriched
1,1,39,10.0,1.4128892742272563,0.3247863247863248,2B,rate_overall,enriched
1,2,38,10.0,1.4945254486082546,0.4385964912280701,2B,rate_overall,enriched
