model,feature,column,beta_ci_lo,beta_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,n_boot_used,n_failures,beta,odds_ratio
4B,identity_declaration,identity_declaration_rate,-0.35601923865966967,0.07443728717670711,0.7004591442105346,1.0772777822726018,1000,0,-0.13724909320742185,0.8717530513212138
4B,call_for_action,call_for_action_rate,-0.20445654512114678,0.11563149112605871,0.8150901607921334,1.1225821144303492,1000,0,-0.03739216246387717,0.9632982918342996
4B,werewolf_accusations_made,werewolf_accusations_made_rate,-0.015131832715543888,0.3413906069603155,0.9849820781811301,1.4069026795270096,1000,0,0.1804491394050393,1.1977552013891237
4B,deception_accusations_made,deception_accusations_made_rate,-0.41394686599978203,-0.0019480615430738021,0.6610360738236938,0.9980538346972831,1000,0,-0.21440247409704688,0.8070235135909707
4B,werewolf_accusations_received,werewolf_accusations_received_rate,0.4639111985555002,0.7974295953638709,1.5902817448535094,2.2198277335289665,1000,0,0.6238677164887594,1.8661317704950615
4B,deception_accusations_received,deception_accusations_received_rate,0.09513633731862409,0.4424082994444252,1.0998087898864315,1.5564511088380113,1000,0,0.24708217218813264,1.2802843122193437
4B,claims_werewolf,claims_werewolf_rate,0.6050561877409083,1.3714122810364242,1.8313551057011666,3.9409124430802778,1000,0,0.9679167901805289,2.6324547876075735
4B,claims_tanner,claims_tanner_rate,-0.141967858133319,0.1974359614064578,0.867649143900844,1.2182750458510647,1000,0,0.03885196511137953,1.0396165727347935
4B,claims_night_action_role,claims_night_action_role_rate,-0.21012360049875656,0.3043469640543741,0.8104840635445274,1.3557393673219682,1000,0,0.030664758653222334,1.0311397652531988
31B,accusation,accusation_rate,-0.13973178014823703,0.12724387443752624,0.8695914458102663,1.1356939507351171,1000,0,-0.0027722363141911574,0.9972316027844508
31B,defense,defense_rate,-0.055424708340806504,0.24156223938601745,0.9460832531667737,1.2732366979218168,1000,0,0.0912223799467537,1.0955125982056253
31B,interrogation,interrogation_rate,-0.1457130757659979,0.06307758800193163,0.8644056865462028,1.0651094757415245,1000,0,-0.032177304357030874,0.968334876864873
31B,evidence,evidence_rate,-0.18393254769165002,0.06686799054551823,0.831991921709658,1.0691543303784734,1000,0,-0.052645491433981145,0.9487162809220636
31B,identity_declaration,identity_declaration_rate,-0.16563559316851495,0.10000608628669583,0.8473549598711794,1.1051776444831722,1000,0,-0.0423899817064583,0.9584959118049139
31B,call_for_action,call_for_action_rate,-0.15548828903276085,0.11906983900445225,0.8559971014242423,1.1264485855890822,1000,0,-0.027023837849053153,0.9733380389625378
31B,werewolf_accusations_made,werewolf_accusations_made_rate,-0.10884068700931336,0.22670459302337867,0.8968732896832822,1.2544592371889671,1000,0,0.04571138454004544,1.0467722527000818
31B,deception_accusations_made,deception_accusations_made_rate,-0.14764006370676028,0.08883165543915374,0.8627415910731943,1.0928966576312957,1000,0,-0.026821842907784856,0.9735346681809374
31B,werewolf_accusations_received,werewolf_accusations_received_rate,0.35582310147000834,0.6446697808395396,1.4273550289229606,1.9053577397427166,1000,0,0.4973746124203973,1.6443984154220803
31B,deception_accusations_received,deception_accusations_received_rate,0.0784585866171121,0.3358182913339644,1.081618560751144,1.3990847758837168,1000,0,0.20086985997038087,1.2224656697523075
31B,claims_werewolf,claims_werewolf_rate,0.02046972380064851,0.3209267335551319,1.020680665444085,1.3784045863904102,1000,0,0.14824108001715866,1.1597924654498308
31B,claims_tanner,claims_tanner_rate,-0.07058117719123892,0.09903666589672343,0.9318520913199639,1.1041067818819532,1000,0,0.022305208988567977,1.0225558300791064
31B,claims_night_action_role,claims_night_action_role_rate,-0.1485413257186277,0.15085520672581193,0.8619643851368035,1.1628282761784046,1000,0,-0.016902851601640796,0.9832392001087414
