model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,mean_support,total_support,low_support_diagnostic
Gemma 4 4B,Greedy,Mechanical,Expansion,1,0.7256838905775076,,0.7256838905775076,0.7256838905775076,0.02617801047120419,5.0,5,True
Gemma 4 4B,Greedy,Mechanical,Temporal,1,0.7579365079365079,,0.7579365079365079,0.7579365079365079,0.015706806282722512,3.0,3,True
Gemma 4 4B,Greedy,Mechanical,Any explicit,1,1.0159574468085106,,1.0159574468085106,1.0159574468085106,0.07329842931937172,14.0,14,True
Gemma 4 4B,Greedy,Testimony,Comparison,1,0.9887663715897913,,0.9887663715897913,0.9887663715897913,0.5235602094240838,100.0,100,False
Gemma 4 4B,Greedy,Testimony,Contingency,1,1.0262570965125708,,1.0262570965125708,1.0262570965125708,0.2774869109947644,53.0,53,False
Gemma 4 4B,Greedy,Testimony,Expansion,1,0.9343842211523528,,0.9343842211523528,0.9343842211523528,0.3298429319371728,63.0,63,False
Gemma 4 4B,Greedy,Testimony,Temporal,1,1.213436063801027,,1.213436063801027,1.213436063801027,0.24607329842931938,47.0,47,False
Gemma 4 4B,Greedy,Testimony,Any explicit,1,1.0011259512346637,,1.0011259512346637,1.0011259512346637,0.7068062827225131,135.0,135,False
Gemma 4 4B,Greedy,SocialJudgment,Comparison,1,1.0258211113406321,,1.0258211113406321,1.0258211113406321,0.4083769633507853,78.0,78,False
Gemma 4 4B,Greedy,SocialJudgment,Contingency,1,0.6696332254584683,,0.6696332254584683,0.6696332254584683,0.13612565445026178,26.0,26,False
Gemma 4 4B,Greedy,SocialJudgment,Expansion,1,1.1836397438545756,,1.1836397438545756,1.1836397438545756,0.31413612565445026,60.0,60,False
Gemma 4 4B,Greedy,SocialJudgment,Temporal,1,0.9271844660194176,,0.9271844660194176,0.9271844660194176,0.14136125654450263,27.0,27,False
Gemma 4 4B,Greedy,SocialJudgment,Any explicit,1,1.0060937822763893,,1.0060937822763893,1.0060937822763893,0.5340314136125655,102.0,102,False
Gemma 4 4B,Greedy,Behavioral,Comparison,1,1.001846926713948,,1.001846926713948,1.001846926713948,0.3717277486910995,71.0,71,False
Gemma 4 4B,Greedy,Behavioral,Contingency,1,0.580295138888889,,0.580295138888889,0.580295138888889,0.1099476439790576,21.0,21,False
Gemma 4 4B,Greedy,Behavioral,Expansion,1,0.9947916666666666,,0.9947916666666666,0.9947916666666666,0.24607329842931938,47.0,47,False
Gemma 4 4B,Greedy,Behavioral,Temporal,1,1.2895447530864197,,1.2895447530864197,1.2895447530864197,0.18324607329842932,35.0,35,False
Gemma 4 4B,Greedy,Behavioral,Any explicit,1,0.9842087765957447,,0.9842087765957447,0.9842087765957447,0.4869109947643979,93.0,93,False
Gemma 4 4B,Greedy,ClaimComparison,Comparison,1,0.7486002239641659,,0.7486002239641659,0.7486002239641659,0.1099476439790576,21.0,21,False
Gemma 4 4B,Greedy,ClaimComparison,Contingency,1,0.418859649122807,,0.418859649122807,0.418859649122807,0.031413612565445025,6.0,6,False
Gemma 4 4B,Greedy,ClaimComparison,Expansion,1,0.8020716685330348,,0.8020716685330348,0.8020716685330348,0.07853403141361257,15.0,15,False
Gemma 4 4B,Greedy,ClaimComparison,Temporal,1,2.326998050682261,,2.326998050682261,2.326998050682261,0.13089005235602094,25.0,25,False
Gemma 4 4B,Greedy,ClaimComparison,Any explicit,1,0.9624860022396418,,0.9624860022396418,0.9624860022396418,0.18848167539267016,36.0,36,False
Gemma 4 4B,Greedy,Payoff,Comparison,1,1.0085416990215872,,1.0085416990215872,1.0085416990215872,0.5340314136125655,102.0,102,False
Gemma 4 4B,Greedy,Payoff,Contingency,1,1.0068937550689374,,1.0068937550689374,1.0068937550689374,0.27225130890052357,52.0,52,False
Gemma 4 4B,Greedy,Payoff,Expansion,1,1.0678676813169745,,1.0678676813169745,1.0678676813169745,0.3769633507853403,72.0,72,False
Gemma 4 4B,Greedy,Payoff,Temporal,1,0.9552581778859149,,0.9552581778859149,0.9552581778859149,0.193717277486911,37.0,37,False
Gemma 4 4B,Greedy,Payoff,Any explicit,1,1.0011259512346637,,1.0011259512346637,1.0011259512346637,0.7068062827225131,135.0,135,False
Gemma 4 4B,Greedy,Uncertainty,Comparison,1,1.1259095514414665,,1.1259095514414665,1.1259095514414665,0.33507853403141363,64.0,64,False
Gemma 4 4B,Greedy,Uncertainty,Contingency,1,1.1369047619047619,,1.1369047619047619,1.1369047619047619,0.17277486910994763,33.0,33,False
Gemma 4 4B,Greedy,Uncertainty,Expansion,1,0.9763746891406466,,0.9763746891406466,0.9763746891406466,0.193717277486911,37.0,37,False
Gemma 4 4B,Greedy,Uncertainty,Temporal,1,0.6890331890331891,,0.6890331890331891,0.6890331890331891,0.07853403141361257,15.0,15,False
Gemma 4 4B,Greedy,Uncertainty,Any explicit,1,1.0159574468085106,,1.0159574468085106,1.0159574468085106,0.4031413612565445,77.0,77,False
Gemma 4 31B,Stochastic,Mechanical,Comparison,3,0.7697894713085452,0.03916637502458778,0.7390463184249461,0.813886451936333,0.18150087260034906,34.666666666666664,104,False
Gemma 4 31B,Stochastic,Mechanical,Contingency,3,1.2518818892976546,0.03728624546411673,1.215700141442716,1.2901822892569634,0.38568935427574175,73.66666666666667,221,False
Gemma 4 31B,Stochastic,Mechanical,Expansion,3,1.0371454925922405,0.010389629740093083,1.028164952417572,1.0485246544456428,0.29668411867364747,56.666666666666664,170,False
Gemma 4 31B,Stochastic,Mechanical,Temporal,3,0.9316367236008039,0.046686884852650004,0.879576329725996,0.9697892866209699,0.2041884816753927,39.0,117,False
Gemma 4 31B,Stochastic,Mechanical,Any explicit,3,1.002380565925445,0.010333820267272642,0.9920467456581724,1.0127143861927177,0.5078534031413612,97.0,291,False
Gemma 4 31B,Stochastic,Testimony,Comparison,3,1.009773781606177,0.009748720517097987,1.0030972259628332,1.020960960960961,0.4432809773123909,84.66666666666667,254,False
Gemma 4 31B,Stochastic,Testimony,Contingency,3,0.9937425301532276,0.0054556019169570815,0.9875440658049355,0.997815349544073,0.568935427574171,108.66666666666667,326,False
Gemma 4 31B,Stochastic,Testimony,Expansion,3,0.9981298551032988,0.006566176655779937,0.9923379690369983,1.0052631578947366,0.5305410122164048,101.33333333333333,304,False
Gemma 4 31B,Stochastic,Testimony,Temporal,3,1.00553929503186,0.0027554094282643054,1.0029323513366066,1.0084223758642363,0.41012216404886565,78.33333333333333,235,False
Gemma 4 31B,Stochastic,Testimony,Any explicit,3,1.0010687306916632,0.0033315708962325464,0.9985821887461233,1.0048540867341007,0.9424083769633508,180.0,540,False
Gemma 4 31B,Stochastic,SocialJudgment,Comparison,3,1.157234507039798,0.056000057693316674,1.0977011494252875,1.2088607594936709,0.15357766143106458,29.333333333333332,88,False
Gemma 4 31B,Stochastic,SocialJudgment,Contingency,3,0.7404969500837041,0.08080200635131507,0.6513213981244672,0.8088492990654205,0.12914485165794065,24.666666666666668,74,False
Gemma 4 31B,Stochastic,SocialJudgment,Expansion,3,0.9641885930462536,0.018115513771749258,0.9455445544554457,0.9817247287264421,0.15532286212914484,29.666666666666668,89,False
Gemma 4 31B,Stochastic,SocialJudgment,Temporal,3,0.8620517739340414,0.10553404443923313,0.7403100775193798,0.9275760135135134,0.10645724258289703,20.333333333333332,61,False
Gemma 4 31B,Stochastic,SocialJudgment,Any explicit,3,0.9863102572540857,0.03897112093962831,0.9413907639558557,1.0110997267759563,0.28272251308900526,54.0,162,False
Gemma 4 31B,Stochastic,Behavioral,Comparison,3,1.1213586513501694,0.06780770475563179,1.0515792523906113,1.187005649717514,0.3089005235602094,59.0,177,False
Gemma 4 31B,Stochastic,Behavioral,Contingency,3,0.9773853560660885,0.04558024577496844,0.943036109064112,1.029094827586207,0.3507853403141361,67.0,201,False
Gemma 4 31B,Stochastic,Behavioral,Expansion,3,1.0266638978261453,0.020089842286010406,1.0096779440468446,1.048839337715284,0.34205933682373474,65.33333333333333,196,False
Gemma 4 31B,Stochastic,Behavioral,Temporal,3,1.1374932128169608,0.07139318098072787,1.0554818744473917,1.185750886874261,0.2914485165794067,55.666666666666664,167,False
Gemma 4 31B,Stochastic,Behavioral,Any explicit,3,1.0112801540822454,0.018091990540056304,0.991091518574643,1.0260257478929333,0.5968586387434555,114.0,342,False
Gemma 4 31B,Stochastic,ClaimComparison,Comparison,3,1.0504515799728116,0.0245297254161037,1.0231001004352194,1.0705014749262536,0.268760907504363,51.333333333333336,154,False
Gemma 4 31B,Stochastic,ClaimComparison,Contingency,3,0.9429909367617956,0.061053393319278296,0.8831313775510206,1.005171944469649,0.31413612565445026,60.0,180,False
Gemma 4 31B,Stochastic,ClaimComparison,Expansion,3,1.0182080023690412,0.027154665298966686,0.991444775545516,1.045737870619946,0.3158813263525306,60.333333333333336,181,False
Gemma 4 31B,Stochastic,ClaimComparison,Temporal,3,1.300336587805655,0.04849957421834654,1.2578719901214244,1.3531881395959067,0.3089005235602094,59.0,177,False
Gemma 4 31B,Stochastic,ClaimComparison,Any explicit,3,1.018975427106865,0.021426466953082125,1.0064402810304451,1.0437158469945356,0.5584642233856894,106.66666666666667,320,False
Gemma 4 31B,Stochastic,Payoff,Comparison,3,1.0585407473318165,0.23142049292649466,0.8352128883774452,1.2972831765935215,0.12914485165794065,24.666666666666668,74,False
Gemma 4 31B,Stochastic,Payoff,Contingency,3,1.30576795761327,0.11793593619359004,1.1765080713678844,1.4075165806927046,0.21291448516579406,40.666666666666664,122,False
Gemma 4 31B,Stochastic,Payoff,Expansion,3,1.0861090274905019,0.0556513695486462,1.037189402665789,1.1466552315608918,0.16230366492146597,31.0,93,False
Gemma 4 31B,Stochastic,Payoff,Temporal,3,0.8936818908044765,0.07992942588293864,0.8013986013986013,0.9410721324398896,0.10296684118673648,19.666666666666668,59,False
