model,decoding_group,semantic_category,discourse_relation,n_runs,mean_localization_rate,sd_localization_rate,min_localization_rate,max_localization_rate,total_n_with_both,total_n_same_sentence
Gemma 4 4B,Stochastic,Payoff,Temporal.Synchrony,3,0.12222222222222223,0.10715167512214395,0.0,0.2,22,2
Gemma 4 4B,Stochastic,Uncertainty,Comparison.Contrast,3,0.5284550695509599,0.08986172692180991,0.42857142857142855,0.6027397260273972,217,115
Gemma 4 4B,Stochastic,Uncertainty,Comparison.Concession,3,0.0,,0.0,0.0,1,0
Gemma 4 4B,Stochastic,Uncertainty,Contingency.Cause,3,0.3054457619675011,0.12004351126172333,0.17391304347826086,0.4090909090909091,75,23
Gemma 4 4B,Stochastic,Uncertainty,Contingency.Condition,3,0.2333333333333333,0.08819171036881968,0.16666666666666666,0.3333333333333333,14,3
Gemma 4 4B,Stochastic,Uncertainty,Expansion.Conjunction,3,0.21414141414141416,0.024493647783802305,0.2,0.24242424242424243,103,22
Gemma 4 4B,Stochastic,Uncertainty,Expansion.Alternative,3,1.0,,1.0,1.0,1,1
Gemma 4 4B,Stochastic,Uncertainty,Expansion.Restatement,3,,,,,0,0
Gemma 4 4B,Stochastic,Uncertainty,Temporal.Asynchronous,3,0.07326007326007326,0.07149897910601881,0.0,0.14285714285714285,35,3
Gemma 4 4B,Stochastic,Uncertainty,Temporal.Synchrony,3,0.2333333333333333,0.2516611478423583,0.0,0.5,9,2
Gemma 4 4B,Greedy,Mechanical,Comparison.Contrast,1,0.2222222222222222,,0.2222222222222222,0.2222222222222222,9,2
Gemma 4 4B,Greedy,Mechanical,Comparison.Concession,1,,,,,0,0
Gemma 4 4B,Greedy,Mechanical,Contingency.Cause,1,0.42857142857142855,,0.42857142857142855,0.42857142857142855,7,3
Gemma 4 4B,Greedy,Mechanical,Contingency.Condition,1,1.0,,1.0,1.0,3,3
Gemma 4 4B,Greedy,Mechanical,Expansion.Conjunction,1,0.0,,0.0,0.0,5,0
Gemma 4 4B,Greedy,Mechanical,Expansion.Alternative,1,0.0,,0.0,0.0,1,0
Gemma 4 4B,Greedy,Mechanical,Expansion.Restatement,1,,,,,0,0
Gemma 4 4B,Greedy,Mechanical,Temporal.Asynchronous,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,3,2
Gemma 4 4B,Greedy,Mechanical,Temporal.Synchrony,1,,,,,0,0
Gemma 4 4B,Greedy,Testimony,Comparison.Contrast,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,99,66
Gemma 4 4B,Greedy,Testimony,Comparison.Concession,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,3,2
Gemma 4 4B,Greedy,Testimony,Contingency.Cause,1,0.2916666666666667,,0.2916666666666667,0.2916666666666667,48,14
Gemma 4 4B,Greedy,Testimony,Contingency.Condition,1,0.4375,,0.4375,0.4375,16,7
Gemma 4 4B,Greedy,Testimony,Expansion.Conjunction,1,0.5079365079365079,,0.5079365079365079,0.5079365079365079,63,32
Gemma 4 4B,Greedy,Testimony,Expansion.Alternative,1,0.0,,0.0,0.0,1,0
Gemma 4 4B,Greedy,Testimony,Expansion.Restatement,1,,,,,0,0
Gemma 4 4B,Greedy,Testimony,Temporal.Asynchronous,1,0.8809523809523809,,0.8809523809523809,0.8809523809523809,42,37
Gemma 4 4B,Greedy,Testimony,Temporal.Synchrony,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,9,6
Gemma 4 4B,Greedy,SocialJudgment,Comparison.Contrast,1,0.7662337662337663,,0.7662337662337663,0.7662337662337663,77,59
Gemma 4 4B,Greedy,SocialJudgment,Comparison.Concession,1,0.5,,0.5,0.5,2,1
Gemma 4 4B,Greedy,SocialJudgment,Contingency.Cause,1,0.21739130434782608,,0.21739130434782608,0.21739130434782608,23,5
Gemma 4 4B,Greedy,SocialJudgment,Contingency.Condition,1,0.3333333333333333,,0.3333333333333333,0.3333333333333333,6,2
Gemma 4 4B,Greedy,SocialJudgment,Expansion.Conjunction,1,0.8,,0.8,0.8,60,48
