model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 2B,Stochastic,Payoff,Temporal,3,0.14810765409007814,0.04440071157923504,0.11627906976744186,0.19883040935672514,173.66666666666666,521,77,False
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,0.9714301686335572,0.016629593949919665,0.9550561797752809,0.9883040935672515,173.66666666666666,521,506,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison,3,0.7222222222222222,0.041454523037303584,0.6754385964912281,0.7543859649122807,114.0,342,247,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency,3,0.6286549707602339,0.04051580836418426,0.6052631578947368,0.6754385964912281,114.0,342,215,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion,3,0.5029239766081871,0.05287468222229571,0.4473684210526316,0.5526315789473685,114.0,342,172,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal,3,0.1111111111111111,0.026798688274595552,0.08771929824561403,0.14035087719298245,114.0,342,38,False
Gemma 4 2B,Stochastic,Uncertainty,Any explicit,3,0.9736842105263158,0.015193428136569083,0.956140350877193,0.9824561403508771,114.0,342,333,False
Gemma 4 2B,Greedy,Mechanical,Comparison,1,0.4,,0.4,0.4,5.0,5,2,True
Gemma 4 2B,Greedy,Mechanical,Contingency,1,0.8,,0.8,0.8,5.0,5,4,True
Gemma 4 2B,Greedy,Mechanical,Expansion,1,0.4,,0.4,0.4,5.0,5,2,True
Gemma 4 2B,Greedy,Mechanical,Temporal,1,0.2,,0.2,0.2,5.0,5,1,True
Gemma 4 2B,Greedy,Mechanical,Any explicit,1,1.0,,1.0,1.0,5.0,5,5,True
Gemma 4 2B,Greedy,Testimony,Comparison,1,0.6634615384615384,,0.6634615384615384,0.6634615384615384,104.0,104,69,False
Gemma 4 2B,Greedy,Testimony,Contingency,1,0.6346153846153846,,0.6346153846153846,0.6346153846153846,104.0,104,66,False
Gemma 4 2B,Greedy,Testimony,Expansion,1,0.5192307692307693,,0.5192307692307693,0.5192307692307693,104.0,104,54,False
Gemma 4 2B,Greedy,Testimony,Temporal,1,0.19230769230769232,,0.19230769230769232,0.19230769230769232,104.0,104,20,False
Gemma 4 2B,Greedy,Testimony,Any explicit,1,0.9711538461538461,,0.9711538461538461,0.9711538461538461,104.0,104,101,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison,1,0.6391752577319587,,0.6391752577319587,0.6391752577319587,97.0,97,62,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency,1,0.5979381443298969,,0.5979381443298969,0.5979381443298969,97.0,97,58,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion,1,0.5154639175257731,,0.5154639175257731,0.5154639175257731,97.0,97,50,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal,1,0.15463917525773196,,0.15463917525773196,0.15463917525773196,97.0,97,15,False
Gemma 4 2B,Greedy,SocialJudgment,Any explicit,1,0.9690721649484536,,0.9690721649484536,0.9690721649484536,97.0,97,94,False
Gemma 4 2B,Greedy,Behavioral,Comparison,1,0.5588235294117647,,0.5588235294117647,0.5588235294117647,34.0,34,19,False
Gemma 4 2B,Greedy,Behavioral,Contingency,1,0.6470588235294118,,0.6470588235294118,0.6470588235294118,34.0,34,22,False
Gemma 4 2B,Greedy,Behavioral,Expansion,1,0.38235294117647056,,0.38235294117647056,0.38235294117647056,34.0,34,13,False
Gemma 4 2B,Greedy,Behavioral,Temporal,1,0.08823529411764706,,0.08823529411764706,0.08823529411764706,34.0,34,3,False
Gemma 4 2B,Greedy,Behavioral,Any explicit,1,0.9705882352941176,,0.9705882352941176,0.9705882352941176,34.0,34,33,False
Gemma 4 2B,Greedy,ClaimComparison,Comparison,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,15.0,15,10,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency,1,0.6,,0.6,0.6,15.0,15,9,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,15.0,15,10,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal,1,0.3333333333333333,,0.3333333333333333,0.3333333333333333,15.0,15,5,True
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,1.0,,1.0,1.0,15.0,15,15,True
Gemma 4 2B,Greedy,Payoff,Comparison,1,0.622093023255814,,0.622093023255814,0.622093023255814,172.0,172,107,False
Gemma 4 2B,Greedy,Payoff,Contingency,1,0.6802325581395349,,0.6802325581395349,0.6802325581395349,172.0,172,117,False
Gemma 4 2B,Greedy,Payoff,Expansion,1,0.5232558139534884,,0.5232558139534884,0.5232558139534884,172.0,172,90,False
Gemma 4 2B,Greedy,Payoff,Temporal,1,0.13953488372093023,,0.13953488372093023,0.13953488372093023,172.0,172,24,False
Gemma 4 2B,Greedy,Payoff,Any explicit,1,0.9767441860465116,,0.9767441860465116,0.9767441860465116,172.0,172,168,False
Gemma 4 2B,Greedy,Uncertainty,Comparison,1,0.7459016393442623,,0.7459016393442623,0.7459016393442623,122.0,122,91,False
Gemma 4 2B,Greedy,Uncertainty,Contingency,1,0.7377049180327869,,0.7377049180327869,0.7377049180327869,122.0,122,90,False
Gemma 4 2B,Greedy,Uncertainty,Expansion,1,0.5081967213114754,,0.5081967213114754,0.5081967213114754,122.0,122,62,False
Gemma 4 2B,Greedy,Uncertainty,Temporal,1,0.09016393442622951,,0.09016393442622951,0.09016393442622951,122.0,122,11,False
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,0.9836065573770492,,0.9836065573770492,0.9836065573770492,122.0,122,120,False
Gemma 4 4B,Stochastic,Mechanical,Comparison,3,0.7564102564102564,0.08406972467053851,0.6666666666666666,0.8333333333333334,13.333333333333334,40,30,True
Gemma 4 4B,Stochastic,Mechanical,Contingency,3,0.49743589743589745,0.1814544206456834,0.3333333333333333,0.6923076923076923,13.333333333333334,40,20,True
Gemma 4 4B,Stochastic,Mechanical,Expansion,3,0.397008547008547,0.08128986993590775,0.3076923076923077,0.4666666666666667,13.333333333333334,40,16,True
Gemma 4 4B,Stochastic,Mechanical,Temporal,3,0.24572649572649574,0.08981986990163973,0.15384615384615385,0.3333333333333333,13.333333333333334,40,10,True
Gemma 4 4B,Stochastic,Mechanical,Any explicit,3,0.9743589743589745,0.04441155916843272,0.9230769230769231,1.0,13.333333333333334,40,39,True
Gemma 4 4B,Stochastic,Testimony,Comparison,3,0.8192578458535905,0.011323630094644547,0.8085106382978723,0.831081081081081,144.0,432,354,False
Gemma 4 4B,Stochastic,Testimony,Contingency,3,0.3420583952498846,0.05095116075082062,0.28368794326241137,0.3776223776223776,144.0,432,148,False
Gemma 4 4B,Stochastic,Testimony,Expansion,3,0.4610447376404823,0.02477959117577145,0.43243243243243246,0.4755244755244755,144.0,432,199,False
Gemma 4 4B,Stochastic,Testimony,Temporal,3,0.30959448512640003,0.037803489259980436,0.2695035460992908,0.34459459459459457,144.0,432,134,False
Gemma 4 4B,Stochastic,Testimony,Any explicit,3,0.9699584646393157,0.003246948310352604,0.9662162162162162,0.972027972027972,144.0,432,419,False
Gemma 4 4B,Stochastic,SocialJudgment,Comparison,3,0.7792432875766209,0.01847552112126012,0.7596153846153846,0.7962962962962963,107.33333333333333,322,251,False
Gemma 4 4B,Stochastic,SocialJudgment,Contingency,3,0.2321721488388155,0.04021423870675913,0.19230769230769232,0.2727272727272727,107.33333333333333,322,75,False
Gemma 4 4B,Stochastic,SocialJudgment,Expansion,3,0.4755460588793922,0.05978806310307469,0.4074074074074074,0.5192307692307693,107.33333333333333,322,153,False
Gemma 4 4B,Stochastic,SocialJudgment,Temporal,3,0.2848290598290598,0.05760796303650969,0.22115384615384615,0.3333333333333333,107.33333333333333,322,92,False
Gemma 4 4B,Stochastic,SocialJudgment,Any explicit,3,0.9408076491409826,0.01196240287513259,0.9326923076923077,0.9545454545454546,107.33333333333333,322,303,False
Gemma 4 4B,Stochastic,Behavioral,Comparison,3,0.7929991610492165,0.018148692259006144,0.7777777777777778,0.8130841121495327,111.0,333,264,False
Gemma 4 4B,Stochastic,Behavioral,Contingency,3,0.2528009027032207,0.023941176533395156,0.23728813559322035,0.2803738317757009,111.0,333,84,False
Gemma 4 4B,Stochastic,Behavioral,Expansion,3,0.4211034256179195,0.02307446646994685,0.3983050847457627,0.4444444444444444,111.0,333,140,False
Gemma 4 4B,Stochastic,Behavioral,Temporal,3,0.3145923657434297,0.026117203421223954,0.28703703703703703,0.3389830508474576,111.0,333,105,False
Gemma 4 4B,Stochastic,Behavioral,Any explicit,3,0.9461599912389289,0.014514238877235141,0.9351851851851852,0.9626168224299065,111.0,333,315,False
Gemma 4 4B,Stochastic,ClaimComparison,Comparison,3,0.681396591838018,0.06299123989472871,0.6129032258064516,0.7368421052631579,35.0,105,72,False
Gemma 4 4B,Stochastic,ClaimComparison,Contingency,3,0.2238414135697667,0.08133654325238406,0.16129032258064516,0.3157894736842105,35.0,105,24,False
Gemma 4 4B,Stochastic,ClaimComparison,Expansion,3,0.4908193422624662,0.07780517805917685,0.4444444444444444,0.5806451612903226,35.0,105,51,False
Gemma 4 4B,Stochastic,ClaimComparison,Temporal,3,0.599493806200088,0.03412770180073404,0.5789473684210527,0.6388888888888888,35.0,105,63,False
Gemma 4 4B,Stochastic,ClaimComparison,Any explicit,3,0.9692353643966548,0.032361608675703375,0.9354838709677419,1.0,35.0,105,102,False
Gemma 4 4B,Stochastic,Payoff,Comparison,3,0.7983893557422969,0.04272012892689955,0.75,0.8308823529411765,137.33333333333334,412,329,False
Gemma 4 4B,Stochastic,Payoff,Contingency,3,0.3614145658263306,0.027942229503545232,0.33088235294117646,0.38571428571428573,137.33333333333334,412,149,False
Gemma 4 4B,Stochastic,Payoff,Expansion,3,0.4763305322128852,0.0537323884981101,0.4142857142857143,0.5073529411764706,137.33333333333334,412,196,False
Gemma 4 4B,Stochastic,Payoff,Temporal,3,0.25210084033613445,0.032613812387100885,0.22058823529411764,0.2857142857142857,137.33333333333334,412,104,False
