model,decoding_group,semantic_category,discourse_relation,n_runs,mean_relations_per_100_words,sd_relations_per_100_words,min_relations_per_100_words,max_relations_per_100_words,mean_per_justification_density,total_words,total_relations,low_support_diagnostic
Gemma 4 4B,Stochastic,Payoff,Expansion,3,0.6951499984381616,0.08544667854141345,0.5964912280701754,0.7454643434524879,0.7026435101908963,33563,233,False
Gemma 4 4B,Stochastic,Payoff,Temporal,3,0.40209972787456877,0.07634860247632992,0.3143524339859889,0.45335025840964727,0.40383721226146285,33563,135,False
Gemma 4 4B,Stochastic,Payoff,Any explicit,3,2.8583726599277663,0.09636270781251204,2.763157894736842,2.9558436848309,2.885490689985316,33563,959,False
Gemma 4 4B,Stochastic,Uncertainty,Comparison,3,1.3604035946029718,0.05521267980940998,1.2967512967512969,1.3953488372093024,1.3718821757392803,20254,275,False
Gemma 4 4B,Stochastic,Uncertainty,Contingency,3,0.5042623246248078,0.08391789892831485,0.4470700942040556,0.6006006006006006,0.5029028665161094,20254,103,False
Gemma 4 4B,Stochastic,Uncertainty,Expansion,3,0.589106660148211,0.06509648999266185,0.5323505323505323,0.660165041260315,0.5805034348419585,20254,119,False
Gemma 4 4B,Stochastic,Uncertainty,Temporal,3,0.24713684193698696,0.07270026253271816,0.16504126031507876,0.3033689924956091,0.2515559540614124,20254,50,False
Gemma 4 4B,Stochastic,Uncertainty,Any explicit,3,2.700909421312977,0.014425206394561166,2.6856714178544636,2.7143541433817657,2.7068444311587605,20254,547,False
Gemma 4 4B,Greedy,Mechanical,Comparison,1,1.0018214936247722,,1.0018214936247722,1.0018214936247722,0.9418674811902444,1098,11,True
Gemma 4 4B,Greedy,Mechanical,Contingency,1,0.9107468123861566,,0.9107468123861566,0.9107468123861566,0.9654842831882112,1098,10,True
Gemma 4 4B,Greedy,Mechanical,Expansion,1,0.546448087431694,,0.546448087431694,0.546448087431694,0.5615127044645997,1098,6,True
Gemma 4 4B,Greedy,Mechanical,Temporal,1,0.36429872495446264,,0.36429872495446264,0.36429872495446264,0.3982226693494299,1098,4,True
Gemma 4 4B,Greedy,Mechanical,Any explicit,1,2.8233151183970855,,2.8233151183970855,2.8233151183970855,2.8670871381924847,1098,31,True
Gemma 4 4B,Greedy,Testimony,Comparison,1,1.115140525838622,,1.115140525838622,1.115140525838622,1.103522452982136,11030,123,False
