model,decoding_group,top_level,raw_sense,n_runs,total_count,mean_count_per_run,mean_per_100_words,sd_per_100_words,mean_pct_of_relations,sd_pct_of_relations
Gemma 4 2B,Greedy,Temporal,Temporal.Synchrony,1,4,4.0,0.03242016534284325,,0.9070294784580499,
Gemma 4 4B,Stochastic,Comparison,Comparison.Concession,3,7,2.3333333333333335,0.01493044250389257,0.016136290781269522,0.5234749591197584,0.5499218211196146
Gemma 4 4B,Stochastic,Comparison,Comparison.Contrast,3,557,185.66666666666666,1.1862870824529013,0.01605571263265992,42.41746830500938,2.3286950620390097
Gemma 4 4B,Stochastic,Contingency,Contingency.Cause,3,202,67.33333333333333,0.43033949613964756,0.055665728065131724,15.326505700338492,1.3428198570001375
Gemma 4 4B,Stochastic,Contingency,Contingency.Condition,3,37,12.333333333333334,0.07883144110180756,0.014996586039895404,2.8044237422321516,0.42244102687112034
Gemma 4 4B,Stochastic,Expansion,Expansion.Alternative,3,2,0.6666666666666666,0.0042732303484819345,0.007401452076015971,0.14619883040935672,0.25322380227615165
Gemma 4 4B,Stochastic,Expansion,Expansion.Conjunction,3,304,101.33333333333333,0.6474230993763611,0.05337805001379748,23.165646016270156,2.549269211974259
Gemma 4 4B,Stochastic,Expansion,Expansion.Restatement,3,0,0.0,0.0,0.0,0.0,0.0
Gemma 4 4B,Stochastic,Temporal,Temporal.Asynchronous,3,154,51.333333333333336,0.3280756467668948,0.08348084719586985,11.684519010969282,2.830765158941921
Gemma 4 4B,Stochastic,Temporal,Temporal.Synchrony,3,52,17.333333333333332,0.11081058504967872,0.029159872424922077,3.9317634356514275,0.8727403638377568
Gemma 4 4B,Greedy,Comparison,Comparison.Concession,1,3,3.0,0.019296327265710428,,0.6578947368421053,
Gemma 4 4B,Greedy,Comparison,Comparison.Contrast,1,172,172.0,1.1063227632340644,,37.719298245614034,
Gemma 4 4B,Greedy,Contingency,Contingency.Cause,1,75,75.0,0.48240818164276067,,16.44736842105263,
Gemma 4 4B,Greedy,Contingency,Contingency.Condition,1,24,24.0,0.15437061812568342,,5.2631578947368425,
Gemma 4 4B,Greedy,Expansion,Expansion.Alternative,1,1,1.0,0.006432109088570142,,0.21929824561403508,
Gemma 4 4B,Greedy,Expansion,Expansion.Conjunction,1,110,110.0,0.7075319997427156,,24.12280701754386,
Gemma 4 4B,Greedy,Expansion,Expansion.Restatement,1,0,0.0,0.0,,0.0,
Gemma 4 4B,Greedy,Temporal,Temporal.Asynchronous,1,59,59.0,0.3794944362256384,,12.93859649122807,
Gemma 4 4B,Greedy,Temporal,Temporal.Synchrony,1,12,12.0,0.07718530906284171,,2.6315789473684212,
Gemma 4 31B,Stochastic,Comparison,Comparison.Concession,3,10,3.3333333333333335,0.023064575083568222,0.01045904780624284,0.6567294598680015,0.308188934375099
Gemma 4 31B,Stochastic,Comparison,Comparison.Contrast,3,288,96.0,0.6651782413939252,0.06421399557517425,18.78505525946248,1.6931522805347845
Gemma 4 31B,Stochastic,Contingency,Contingency.Cause,3,256,85.33333333333333,0.5909580964998477,0.05050053344519661,16.668207178253247,0.7982960961450273
Gemma 4 31B,Stochastic,Contingency,Contingency.Condition,3,206,68.66666666666667,0.4755957276490832,0.017576052603326196,13.450460790629228,0.8756555910569314
Gemma 4 31B,Stochastic,Expansion,Expansion.Alternative,3,10,3.3333333333333335,0.02314232564057599,0.021171534671238428,0.64510478192488,0.5783758538784849
Gemma 4 31B,Stochastic,Expansion,Expansion.Conjunction,3,432,144.0,0.997340739758115,0.03741934635982826,28.197656767181787,1.6524118187710186
Gemma 4 31B,Stochastic,Expansion,Expansion.Restatement,3,1,0.3333333333333333,0.0023241760795797892,0.004025591055568441,0.0681663258350375,0.1180675397115799
Gemma 4 31B,Stochastic,Temporal,Temporal.Asynchronous,3,269,89.66666666666667,0.6211428022495861,0.05661385174251036,17.519366442083314,0.9519595040385967
Gemma 4 31B,Stochastic,Temporal,Temporal.Synchrony,3,62,20.666666666666668,0.14300544422306913,0.046617128733718906,4.009252994762021,1.1802967347441795
Gemma 4 31B,Greedy,Comparison,Comparison.Concession,1,2,2.0,0.013945056477478734,,0.3831417624521073,
Gemma 4 31B,Greedy,Comparison,Comparison.Contrast,1,94,94.0,0.6554176544415005,,18.007662835249043,
Gemma 4 31B,Greedy,Contingency,Contingency.Cause,1,84,84.0,0.5856923720541068,,16.091954022988507,
Gemma 4 31B,Greedy,Contingency,Contingency.Condition,1,59,59.0,0.41137916608562264,,11.302681992337165,
Gemma 4 31B,Greedy,Expansion,Expansion.Alternative,1,8,8.0,0.05578022590991494,,1.5325670498084292,
Gemma 4 31B,Greedy,Expansion,Expansion.Conjunction,1,161,161.0,1.1225770464370382,,30.842911877394634,
Gemma 4 31B,Greedy,Expansion,Expansion.Restatement,1,0,0.0,0.0,,0.0,
Gemma 4 31B,Greedy,Temporal,Temporal.Asynchronous,1,94,94.0,0.6554176544415005,,18.007662835249043,
Gemma 4 31B,Greedy,Temporal,Temporal.Synchrony,1,20,20.0,0.13945056477478734,,3.8314176245210727,
