model,decoding_group,semantic_category,discourse_relation,n_runs,mean_joint_prevalence,sd_joint_prevalence,mean_lift,sd_lift,mean_support,total_support,support_is_thin
Gemma 4 2B,Greedy,ClaimComparison,Comparison,1,0.01335559265442404,,2.3960000000000004,,8.0,8,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency,1,0.001669449081803005,,0.2655141843971631,,1.0,1,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion,1,0.01335559265442404,,2.7477064220183487,,8.0,8,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal,1,0.00667779632721202,,5.99,,4.0,4,True
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,0.02337228714524207,,1.6481918238993711,,14.0,14,True
Gemma 4 2B,Greedy,Payoff,Comparison,1,0.015025041736227046,,0.2281904761904762,,9.0,9,False
Gemma 4 2B,Greedy,Payoff,Contingency,1,0.19198664440734559,,2.5848999962475143,,115.0,115,False
Gemma 4 2B,Greedy,Payoff,Expansion,1,0.05509181969949917,,0.9595165283238677,,33.0,33,False
Gemma 4 2B,Greedy,Payoff,Temporal,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Payoff,Any explicit,1,0.21035058430717862,,1.2557651991614256,,126.0,126,False
Gemma 4 2B,Greedy,Uncertainty,Comparison,1,0.10350584307178631,,1.4563921568627451,,62.0,62,False
Gemma 4 2B,Greedy,Uncertainty,Contingency,1,0.08013355592654424,,0.9995828118481433,,48.0,48,False
Gemma 4 2B,Greedy,Uncertainty,Expansion,1,0.06343906510851419,,1.02365533369311,,38.0,38,False
Gemma 4 2B,Greedy,Uncertainty,Temporal,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,0.18864774624373956,,1.0433931434208903,,113.0,113,False
Gemma 4 4B,Stochastic,Mechanical,Comparison,3,0.007594739736893649,0.0026535232118069163,1.4581552275475245,0.31185765077167604,5.666666666666667,17,True
