model,decoding_group,semantic_category,discourse_relation,n_runs,mean_joint_prevalence,sd_joint_prevalence,mean_lift,sd_lift,mean_support,total_support,support_is_thin
Gemma 4 2B,Stochastic,Behavioral,Contingency.Cause,3,0.0088284117364069,0.0024149255877900172,0.7202020396715786,0.26100175351034705,5.333333333333333,16,False
Gemma 4 2B,Stochastic,Behavioral,Contingency.Condition,3,0.001675191281200786,0.00168645120934602,0.7157980371363816,0.6466280803889765,1.0,3,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Conjunction,3,0.011652527770777696,0.004519388968479737,1.094548167859439,0.4877722079911137,7.0,21,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Alternative,3,0.0016438603621912115,0.0016393629237586845,3.1700143472022955,2.994600617062446,1.0,3,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 2B,Stochastic,Behavioral,Temporal.Asynchronous,3,0.003314535543495868,0.0016333465239239061,1.3621671900385184,0.4563088168886218,2.0,6,False
Gemma 4 2B,Stochastic,Behavioral,Temporal.Synchrony,3,0.0033079022837833403,0.0016363641150566495,3.2410130718954253,2.331577393219206,2.0,6,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Contrast,3,0.00940167464295204,0.002509805273292603,1.7612858613675275,0.18094347825811907,5.666666666666667,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Cause,3,0.001655009721799869,0.0016395687939773358,0.27182151092524237,0.2714737460364642,1.0,3,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Condition,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Conjunction,3,0.009374859823838596,0.003326713585254622,1.9342364001665022,0.4135396559091333,5.666666666666667,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Alternative,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Restatement,3,0.0,0.0,,,0.0,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,0.006615804567566681,0.003272728230113299,7.145798130318255,5.341726603391498,4.0,12,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Synchrony,3,0.0027479058966632572,0.003405141558820456,4.035441954559602,3.88322013907657,1.6666666666666667,5,True
Gemma 4 2B,Stochastic,Payoff,Comparison.Contrast,3,0.024875104706118797,0.004254757529025609,0.3980719299887346,0.03981817917267039,15.0,45,False
Gemma 4 2B,Stochastic,Payoff,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,False
Gemma 4 2B,Stochastic,Payoff,Contingency.Cause,3,0.1571958644710044,0.013285869462088639,2.4248455795942596,0.10519267198444437,94.66666666666667,284,False
Gemma 4 2B,Stochastic,Payoff,Contingency.Condition,3,0.032623886787087365,0.0015928900824255126,2.762561628653067,0.23077566211902065,19.666666666666668,59,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Conjunction,3,0.05590664360942544,0.007323104941895129,0.9953461823466053,0.16499539778596864,33.666666666666664,101,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Alternative,3,0.0016640419215921286,0.001653005367843472,0.8991442136892607,0.7991330813740087,1.0,3,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 2B,Stochastic,Payoff,Temporal.Asynchronous,3,0.000546448087431694,0.000946475851130534,0.040105193951347796,0.0694642335711384,0.3333333333333333,1,False
Gemma 4 2B,Stochastic,Payoff,Temporal.Synchrony,3,0.0027680874560641736,0.0009669298828928692,0.5020047699053127,0.23169399462216836,1.6666666666666667,5,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Contrast,3,0.09128055345299246,0.003445751286644157,1.4907604283459648,0.0897499123540172,55.0,165,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Concession,3,0.0016483764620873413,0.0016529110704859768,1.5826334351367073,1.575568996769294,1.0,3,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Cause,3,0.06476398732476218,0.0053594693387609875,1.0143714815197156,0.08051841662618581,39.0,117,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Condition,3,0.01932538149430206,0.0035936259943399403,1.6890976875147878,0.48919771983310206,11.666666666666666,35,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Conjunction,3,0.054735138356774786,0.00557474098259881,0.9824079493432084,0.0689954990971816,33.0,99,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Alternative,3,0.0055093600930149035,0.002458714885362328,2.6590084014387263,0.6822501071996085,3.3333333333333335,10,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Asynchronous,3,0.0016438603621912115,0.0016393629237586845,0.13190672099376288,0.12383609780392567,1.0,3,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Synchrony,3,0.0010974122747595177,0.0009504110503885968,0.1876767419688449,0.17641702225087508,0.6666666666666666,2,False
Gemma 4 2B,Greedy,Mechanical,Comparison.Contrast,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Comparison.Concession,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Contingency.Cause,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Contingency.Condition,1,0.001669449081803005,,3.8645161290322583,,1.0,1,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Conjunction,1,0.001669449081803005,,1.151923076923077,,1.0,1,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Alternative,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Restatement,1,0.0,,,,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Temporal.Asynchronous,1,0.001669449081803005,,5.704761904761905,,1.0,1,True
Gemma 4 2B,Greedy,Mechanical,Temporal.Synchrony,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,Testimony,Comparison.Contrast,1,0.08013355592654424,,1.568832869536749,,48.0,48,False
Gemma 4 2B,Greedy,Testimony,Comparison.Concession,1,0.00333889816360601,,4.02013422818792,,2.0,2,False
Gemma 4 2B,Greedy,Testimony,Contingency.Cause,1,0.02337228714524207,,0.4362936371676812,,14.0,14,False
Gemma 4 2B,Greedy,Testimony,Contingency.Condition,1,0.00333889816360601,,0.25936349859276897,,2.0,2,False
Gemma 4 2B,Greedy,Testimony,Expansion.Conjunction,1,0.07345575959933222,,1.7008260196179659,,44.0,44,False
Gemma 4 2B,Greedy,Testimony,Expansion.Alternative,1,0.001669449081803005,,0.804026845637584,,1.0,1,False
Gemma 4 2B,Greedy,Testimony,Expansion.Restatement,1,0.0,,,,0.0,0,False
Gemma 4 2B,Greedy,Testimony,Temporal.Asynchronous,1,0.02671118530884808,,3.0629594119527006,,16.0,16,False
Gemma 4 2B,Greedy,Testimony,Temporal.Synchrony,1,0.00333889816360601,,2.01006711409396,,2.0,2,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison.Contrast,1,0.1001669449081803,,1.873045653533458,,60.0,60,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison.Concession,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency.Cause,1,0.0333889816360601,,0.5953090836811766,,20.0,20,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency.Condition,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Conjunction,1,0.0651085141903172,,1.439903846153846,,39.0,39,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Alternative,1,0.001669449081803005,,0.7679487179487179,,1.0,1,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Restatement,1,0.0,,,,0.0,0,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal.Asynchronous,1,0.015025041736227046,,1.6456043956043958,,9.0,9,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal.Synchrony,1,0.00333889816360601,,1.9198717948717947,,2.0,2,False
Gemma 4 2B,Greedy,Behavioral,Comparison.Contrast,1,0.021702838063439065,,1.4388396156688839,,13.0,13,False
Gemma 4 2B,Greedy,Behavioral,Comparison.Concession,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Behavioral,Contingency.Cause,1,0.015025041736227046,,0.9497885835095138,,9.0,9,False
Gemma 4 2B,Greedy,Behavioral,Contingency.Condition,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Behavioral,Expansion.Conjunction,1,0.01001669449081803,,0.7854020979020979,,6.0,6,False
Gemma 4 2B,Greedy,Behavioral,Expansion.Alternative,1,0.001669449081803005,,2.722727272727273,,1.0,1,False
Gemma 4 2B,Greedy,Behavioral,Expansion.Restatement,1,0.0,,,,0.0,0,False
Gemma 4 2B,Greedy,Behavioral,Temporal.Asynchronous,1,0.00333889816360601,,1.2965367965367967,,2.0,2,False
Gemma 4 2B,Greedy,Behavioral,Temporal.Synchrony,1,0.001669449081803005,,3.403409090909091,,1.0,1,False
Gemma 4 2B,Greedy,ClaimComparison,Comparison.Contrast,1,0.011686143572621035,,2.1305894308943087,,7.0,7,True
Gemma 4 2B,Greedy,ClaimComparison,Comparison.Concession,1,0.001669449081803005,,18.71875,,1.0,1,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency.Cause,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency.Condition,1,0.001669449081803005,,1.2076612903225805,,1.0,1,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion.Conjunction,1,0.01335559265442404,,2.8798076923076925,,8.0,8,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion.Alternative,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion.Restatement,1,0.0,,,,0.0,0,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal.Asynchronous,1,0.00667779632721202,,7.130952380952381,,4.0,4,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal.Synchrony,1,0.0,,0.0,,0.0,0,True
Gemma 4 2B,Greedy,Payoff,Comparison.Contrast,1,0.01335559265442404,,0.20613412483331178,,8.0,8,False
Gemma 4 2B,Greedy,Payoff,Comparison.Concession,1,0.001669449081803005,,1.5846560846560844,,1.0,1,False
Gemma 4 2B,Greedy,Payoff,Contingency.Cause,1,0.17529215358931552,,2.5796726959517655,,105.0,105,False
Gemma 4 2B,Greedy,Payoff,Contingency.Condition,1,0.048414023372287146,,2.9648404164533195,,29.0,29,False
Gemma 4 2B,Greedy,Payoff,Expansion.Conjunction,1,0.05509181969949917,,1.0056471306471306,,33.0,33,False
Gemma 4 2B,Greedy,Payoff,Expansion.Alternative,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Payoff,Expansion.Restatement,1,0.0,,,,0.0,0,False
Gemma 4 2B,Greedy,Payoff,Temporal.Asynchronous,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Payoff,Temporal.Synchrony,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Uncertainty,Comparison.Contrast,1,0.1018363939899833,,1.4562011796588552,,61.0,61,False
Gemma 4 2B,Greedy,Uncertainty,Comparison.Concession,1,0.001669449081803005,,1.4681372549019607,,1.0,1,False
Gemma 4 2B,Greedy,Uncertainty,Contingency.Cause,1,0.07679465776293823,,1.0470436236510106,,46.0,46,False
Gemma 4 2B,Greedy,Uncertainty,Contingency.Condition,1,0.03005008347245409,,1.7049335863377608,,18.0,18,False
Gemma 4 2B,Greedy,Uncertainty,Expansion.Conjunction,1,0.05676126878130217,,0.9599358974358974,,34.0,34,False
