model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 2B,Stochastic,ClaimComparison,Temporal,3,0.3396538102420455,0.14695272047306612,0.17647058823529413,0.46153846153846156,17.0,51,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,0.6905839258780436,0.09279639854621355,0.5882352941176471,0.7692307692307693,17.0,51,35,True
Gemma 4 2B,Stochastic,Payoff,Comparison,3,0.07525390093745092,0.01041328525680305,0.06701030927835051,0.08695652173913043,198.66666666666666,596,45,False
Gemma 4 2B,Stochastic,Payoff,Contingency,3,0.5054464352985195,0.030997864001127657,0.48717948717948717,0.5412371134020618,198.66666666666666,596,301,False
Gemma 4 2B,Stochastic,Payoff,Expansion,3,0.17100964012662803,0.019604288527282826,0.14871794871794872,0.18556701030927836,198.66666666666666,596,102,False
Gemma 4 2B,Stochastic,Payoff,Temporal,3,0.01017493720317566,0.005278131150530785,0.004830917874396135,0.015384615384615385,198.66666666666666,596,6,False
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,0.6158666855663718,0.027368290737984743,0.5897435897435898,0.6443298969072165,198.66666666666666,596,367,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison,3,0.2860194614707927,0.01263501163766685,0.2731707317073171,0.29842931937172773,196.0,588,168,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency,3,0.20395374863434498,0.005923204848365359,0.19791666666666666,0.2097560975609756,196.0,588,120,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion,3,0.17902212006413257,0.026482193641252247,0.16097560975609757,0.2094240837696335,196.0,588,105,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal,3,0.00870782431646306,0.007991623585613243,0.0,0.015706806282722512,196.0,588,5,False
Gemma 4 2B,Stochastic,Uncertainty,Any explicit,3,0.5225088324181671,0.03285400811010482,0.5,0.5602094240837696,196.0,588,307,False
Gemma 4 2B,Greedy,Mechanical,Comparison,1,0.0,,0.0,0.0,5.0,5,0,True
Gemma 4 2B,Greedy,Mechanical,Contingency,1,0.2,,0.2,0.2,5.0,5,1,True
Gemma 4 2B,Greedy,Mechanical,Expansion,1,0.2,,0.2,0.2,5.0,5,1,True
Gemma 4 2B,Greedy,Mechanical,Temporal,1,0.2,,0.2,0.2,5.0,5,1,True
Gemma 4 2B,Greedy,Mechanical,Any explicit,1,0.2,,0.2,0.2,5.0,5,1,True
Gemma 4 2B,Greedy,Testimony,Comparison,1,0.33557046979865773,,0.33557046979865773,0.33557046979865773,149.0,149,50,False
Gemma 4 2B,Greedy,Testimony,Contingency,1,0.10738255033557047,,0.10738255033557047,0.10738255033557047,149.0,149,16,False
Gemma 4 2B,Greedy,Testimony,Expansion,1,0.30201342281879195,,0.30201342281879195,0.30201342281879195,149.0,149,45,False
Gemma 4 2B,Greedy,Testimony,Temporal,1,0.12080536912751678,,0.12080536912751678,0.12080536912751678,149.0,149,18,False
Gemma 4 2B,Greedy,Testimony,Any explicit,1,0.6375838926174496,,0.6375838926174496,0.6375838926174496,149.0,149,95,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison,1,0.38461538461538464,,0.38461538461538464,0.38461538461538464,156.0,156,60,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency,1,0.1282051282051282,,0.1282051282051282,0.1282051282051282,156.0,156,20,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion,1,0.2564102564102564,,0.2564102564102564,0.2564102564102564,156.0,156,40,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal,1,0.07051282051282051,,0.07051282051282051,0.07051282051282051,156.0,156,11,False
Gemma 4 2B,Greedy,SocialJudgment,Any explicit,1,0.6794871794871795,,0.6794871794871795,0.6794871794871795,156.0,156,106,False
Gemma 4 2B,Greedy,Behavioral,Comparison,1,0.29545454545454547,,0.29545454545454547,0.29545454545454547,44.0,44,13,False
Gemma 4 2B,Greedy,Behavioral,Contingency,1,0.20454545454545456,,0.20454545454545456,0.20454545454545456,44.0,44,9,False
Gemma 4 2B,Greedy,Behavioral,Expansion,1,0.1590909090909091,,0.1590909090909091,0.1590909090909091,44.0,44,7,False
Gemma 4 2B,Greedy,Behavioral,Temporal,1,0.06818181818181818,,0.06818181818181818,0.06818181818181818,44.0,44,3,False
Gemma 4 2B,Greedy,Behavioral,Any explicit,1,0.6136363636363636,,0.6136363636363636,0.6136363636363636,44.0,44,27,False
Gemma 4 2B,Greedy,ClaimComparison,Comparison,1,0.5,,0.5,0.5,16.0,16,8,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency,1,0.0625,,0.0625,0.0625,16.0,16,1,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion,1,0.5,,0.5,0.5,16.0,16,8,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal,1,0.25,,0.25,0.25,16.0,16,4,True
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,0.875,,0.875,0.875,16.0,16,14,True
